N[C@H]1[C@H]2CCCC[C@@H]2C[C@H]1O ZINC000100913585
c1cc(N2CCOCC2)ncc1[C@@H]1CCCCN1 ZINC000072216174
C[C@H](N)CN1CCCC1 ZINC000038342007
CC[C@@H](C)n1nccc1CNC[C@@H]1CCCO1 ZINC000256051102
CNC[C@@H]1C[C@H]1c1ccc(OC)cc1OC ZINC000054588575
CCNC[C@H]1C[C@H]1C(=O)OCC ZINC000685937177
CC(C)(N)CNC(=O)NC1CCCC1 ZINC000168380418
CCC(C)(C)NCc1c(F)cncc1F ZINC000685946567
C[C@H]1C[C@@H](O)CCN1 ZINC000004593892
Fc1ccccc1[C@H]1NCC[C@H]2N=CN[C@H]21 ZINC000012375428
NC1CCN(c2cnnc(O)c2)CC1 ZINC000306666628
CO[C@H]1CN[C@H](c2nc(O)c3cccnc3n2)C1 ZINC000253536284
COc1cccc(CC2(CN)CCC2)c1 ZINC000083570253
CCN(CC)c1ccc([C@@H]2C[C@@H]2[C@@H](C)N)cc1 ZINC000062713802
CC[C@H](N)[C@@H](O)C(=O)OC ZINC000078725164
C[C@H](CN)Nc1ccc([N+](=O)[O-])cc1 ZINC000003880424
CN1C[C@@H](N)[C@H](c2cccc3ccccc23)C1 ZINC000217661716
COC(=O)[C@@H](CN)Cc1ccc2ccccc2c1 ZINC000020579509
CC[C@H](C)CN[C@H]1CCCC[C@H]1C ZINC000238850676
CC(C)(C)OC(=O)N1C[C@H](CN)OC(C)(C)C1 ZINC000091692678
C1CCC([C@@H]2CCCC[C@H]2NC2CC2)CC1 ZINC000034995042
NCc1nc(Cc2ccccc2F)no1 ZINC000049671263
CCC[C@@H](N)[C@@H](O)C1CC1 ZINC000021398479
CC[C@@]1(C)CNC[C@@H](C)N1 ZINC000096125873
c1csc(-c2cnnn2[C@@H]2CCCNC2)n1 ZINC000685951968
COC[C@H](OC)c1ccc([C@H](O)CN)cc1 ZINC000072220056
NCC1CCN(CCCc2ccccc2)CC1 ZINC000011889049
CCc1ccc([C@H]2[C@H](N)C(=O)N2CC)cc1 ZINC000096526062
CC(C)COc1ccc([C@@H](C)N)cc1 ZINC000012506436
CCOc1cc(O)ccc1N ZINC000082523821
O=C([C@H]1CCCN1)N1CC[C@@H](O)C1 ZINC000042783712
Cc1cc2nc(CN)[nH]c2cc1C ZINC000000393544
Fc1ccc2c(c1)C1(CCNCC1)OCC2 ZINC000096028307
NCc1nccnc1-c1ccsc1 ZINC000215679901
O=C([C@@H]1C[C@@H]1c1ccccc1)N1CCNCC1 ZINC000038478356
Nc1nc(C(F)(F)F)ccc1-c1ccncc1 ZINC000047212438
N[C@@H]1CCN(Cc2ccncc2)C1 ZINC000037483520
NC[C@H](Cc1cc(F)c(F)c(F)c1)C(N)=O ZINC000062706083
CNC[C@H](O)CN1CCN(C)CC1 ZINC000019685185
Cc1cc(N2CCN(C=O)CC2)ncc1[C@@H](C)N ZINC000072223685
CCOC(=O)c1cc2cc(N)ccc2n1C ZINC000034546400
Fc1ccc(N2CCN[C@H]3CCC[C@@H]32)c(F)c1 ZINC000225717703
C=CC[C@@H]1C=C(C=C)C[C@@H](CC=C)N1 ZINC000004992628
C[C@H](N)CCN(C)C ZINC000019260049
Cn1cc(-c2ccnc(N)n2)cn1 ZINC000052812012
N[C@@H]1CCCC1(F)F ZINC000066351527
NC1(c2ncccc2C(F)(F)F)CC1 ZINC000091691823
CO[C@@H]1CCCC[C@@H]1CCNC(C)C ZINC000085396299
CN[C@H](C)[C@@H]1Cc2ccccc2O1 ZINC000082164023
CC(C)Cn1cnc2c(N)nc3ccccc3c21 ZINC000019632912
C/C=C(\C)C1(N)CC1 ZINC000090628666
CCn1c2ccccc2c2cc(CNC)ccc21 ZINC000003888893
CS(=O)(=O)N[C@@H]1CCNC1 ZINC000036284481
Nc1cccc2c1CC2 ZINC000201205187
FC1(F)[C@H]2CC[C@@H]1CNC2 ZINC000057218856
O=C(OC[C@H]1CCNC1)C1CC1 ZINC000042769218
CC(C)(C)OC(=O)N1C[C@@H]2C(CN)[C@H]2C1 ZINC000103828207
c1ccc(N2CCCNCC2)cc1 ZINC000019089260
CS(C)(=O)=Nc1ccc(N)cc1 ZINC000059776135
CC(C)(C)OC(=O)N[C@H]1CC[C@@H](CN)CC1 ZINC000100007138
CNCCCCCCNC ZINC000002567990
COc1ccc(C(=O)[C@H]2CCCNC2)c(C)c1 ZINC000067973669
NC[C@@H]1CC[C@@H](C(F)(F)F)NC1 ZINC000036855397
CCOCCCNCc1ccncc1 ZINC000006870188
C[C@H]1CN(c2ccc(N)cc2)C[C@H](C)O1 ZINC000000152780
Cc1cccc2c1CNCC2 ZINC000024624352
Cc1ccc(C)c(-n2cnc(CN)c2)c1 ZINC000082531496
Cc1ccc([C@H](C)NCC(C)C)o1 ZINC000019883090
Nc1nc2[nH]c(=O)[nH]c2c(=O)[nH]1 ZINC000095953048
CC[C@H](N)c1cccc(OC(F)F)c1 ZINC000089262716
NCC[C@@H]1C[C@H]2CCC[C@@H]2N1 ZINC000225751799
N[C@@H]1CCCN(c2nc(O)cc(C3CC3)n2)C1 ZINC000575415178
CNC(=O)[C@]1(c2ccccn2)CCCN1 ZINC000072344021
c1ncc2[nH]c(C3CCNCC3)nc2n1 ZINC000027751689
CCc1ccc(OCC[C@@H]2CCCNC2)cc1 ZINC000042773303
COC(=O)[C@H]1CCN[C@H](c2ccccc2)C1 ZINC000008700050
C[C@@H]1CCN[C@@H]1c1ccc(C(F)(F)F)cc1 ZINC000003734376
NC1CCC(c2ccccc2)CC1 ZINC000002035756
Nc1cc(F)cc(OC(F)(F)F)c1N ZINC000169800724
CCOC(=O)c1cnc(C)nc1N ZINC000001646326
COc1ccc(N2C[C@@]3(CCNC3)CC2=O)cc1 ZINC000096238969
Cc1ccc(C2(N)CCCC2)cc1 ZINC000033487145
Cc1nc(N)cc2cccc(F)c12 ZINC000199808591
N[C@@H]1CC[C@@H](C2CCCCC2)NC1 ZINC000757208844
CC(C)(C)OC(=O)NC12CCC(CN)(C1)C2 ZINC000306145615
CCOC(=O)N1CC[C@@]2(CCNC2)C1 ZINC000033426568
Cc1ccc(SCC2CCNCC2)cc1 ZINC000043498066
CC[C@@H](N)CCC1CCCCC1 ZINC000036683972
COC(=O)[C@@H]1C[C@H](C(F)(F)F)CCN1 ZINC000217454486
O=[N+]([O-])c1ccc(CCN2CCCNCC2)cc1 ZINC000035677509
COC(=O)C1CC(N[C@@H](C)c2ccccc2)C1 ZINC000725377634
Cc1cccc(N[C@H]2CCCC[C@@H]2N)c1C ZINC000218863959
Cc1nn(-c2ncc(N)cn2)c(C)c1C ZINC000040728633
CC[C@@H](N)c1ncnn1C ZINC000019091712
NC(=O)[C@@H]1CC[C@@H]2NCCC[C@H]2C1 ZINC000036875306
CCOc1cc(F)ccc1N ZINC000002527708
CCOC(=O)CN1CCC(N)CC1 ZINC000037116299
Nc1ccnc2c(OC(F)(F)F)cccc12 ZINC000036075561
CNCc1ccccc1S(N)(=O)=O ZINC000084175791
CCn1c([C@H]2CCCN2)nc2ccccc21 ZINC000034962076
