OC[C@H]1CC[C@@H](c2ccccc2)N1 ZINC000057348566
N[C@@H]1CCN(c2ccccc2)C1=O ZINC000033852461
C[C@@H](N)CN1CCN(C2CCN(C)CC2)CC1 ZINC000096523919
COc1cc(SC)c(OC)cc1C[C@H](C)N ZINC000003652060
CN1CCCC[C@H](N)C1 ZINC000038803869
Cc1nc(N)[nH]c(=O)c1CCC(C)C ZINC000018153478
Nc1nc(N)nc(N2CC2)n1 ZINC000005134150
c1ccc2c(c1)CC(N1CCCNCC1)C2 ZINC000023093605
C1CNCNC1 ZINC000019318732
N[C@H]1[C@H]2C[C@@H]3C(=O)N[C@@H]1[C@@H]3C21CC(O)C1 ZINC000601012606
CNCCC(C)C ZINC000002563393
CC(C)(C)OC(=O)N[C@H]1C[C@]12CCNC2 ZINC000039093678
O=C([C@H]1CC12CCNCC2)N1CCCC1 ZINC000069792064
COC(=O)C(CN)CN ZINC000077031869
CCNc1nc(C)c([N+](=O)[O-])c(N)n1 ZINC000095117407
COCC[C@@]1(C(=O)OC)CCNC1 ZINC000074942246
CS(=O)(=O)Nc1cccc(F)c1CN ZINC000036158608
COC(=O)C[C@@H](N)C(C)C ZINC000034617681
O=C1COC(=O)N1[C@@H]1CCNC1 ZINC000096034701
CCCNC(=O)N[C@@H]1CCCNC1 ZINC000020256840
NCCCOC[C@@H]1CCOC1 ZINC000049688980
Nc1ccccc1OC1CCC1 ZINC000050519009
NC(=O)[C@H]1CCCC[C@H]1N ZINC000022164252
COCC(C)(N)COC ZINC000104600119
N[C@H]1C[C@H](c2ccccc2)Oc2ccccc21 ZINC000020284160
Cc1noc(C)c1CN1CCC[C@H](N)C1 ZINC000041027896
CC(C)NCc1cc2ccccc2[nH]1 ZINC000022863339
c1coc(-c2cc(C3CCNCC3)n[nH]2)c1 ZINC000004010314
COC(=O)[C@@H](C)CNCCCn1ccnc1 ZINC000047219180
Cn1nccc1CNCc1ccccc1O ZINC000020352500
Cc1ccc([C@H](CN)N2CCCCCC2)cc1 ZINC000032522377
CC(C)Cn1c2c(ccc1=O)[C@H](N)CC(C)(C)C2 ZINC000096510623
CCCNc1ccc([C@@H](N)c2ccccc2)cn1 ZINC000072225228
CCOC(=O)C1[C@@H]2CNC[C@@H]12 ZINC000100048586
CC[C@H](C)NCCOc1ccc(C)c(C)c1 ZINC000002822287
N#Cc1cc(N)c(N)cc1C(F)(F)F ZINC000044564038
FC(F)(F)[C@@H]1[C@H]2CCN[C@H]21 ZINC000032629482
COCCOC[C@@H](C)N ZINC000019395123
Cn1ccc2cc(N)ccc21 ZINC000002512959
NCc1nc(-c2cccc(F)c2)no1 ZINC000020216368
CC1(N)CC(O)C1 ZINC000095743127
N[C@@H](c1ccncc1)C1CC1 ZINC000017786882
NC[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1N1CCOCC1 ZINC000020464847
C[C@@H](CN)COCC1CC1 ZINC000036679187
Cc1ccccc1[C@@]12CNC[C@H]1C2 ZINC000101762354
CNCCN(C)CC(F)F ZINC000037756108
O=C(Nc1ccc(F)cc1)C1CCNCC1 ZINC000019409175
CC[C@@H](N)C[C@@H](C)O ZINC000164399082
NCc1ccc(O)cn1 ZINC000066322804
CCCNC(=O)NCC(N)(CC)CC ZINC000168501226
Cn1nc(C2CNC2)c2cccnc21 ZINC000019686514
Nc1cnc(N2CCOCC2)nc1 ZINC000020357597
CCOC(=O)c1csc(C2CCNCC2)n1 ZINC000075869490
Cc1cc(N)nc(=O)[nH]1 ZINC000001667421
