N#C[C@H](N)CC1CCC1 ZINC000072208569
C[C@@H](NC(=O)OC(C)(C)C)[C@](C)(O)CN ZINC000072207846
NCCc1cnoc1 ZINC000020417449
Nc1ccc[n+]([O-])c1-c1c(N)ccc[n+]1[O-] ZINC000002023785
C[C@@H](NC1(CN)CCOCC1)c1ccccc1 ZINC000068590664
COC(=O)[C@]1(O)CCNC1 ZINC000114708297
CCNCc1ccnn1[C@@H](C)CC ZINC000256051475
CC[C@@H](C)n1ccnc1CCN ZINC000072210051
Cn1cc([C@H](CN)C2CC2)c(C(F)(F)F)n1 ZINC000083332269
COc1ccc(-c2ccnc(N)n2)cc1 ZINC000002567201
COC[C@H]1C[C@@H](N)CN1C(=O)OC(C)(C)C ZINC000098181475
C[C@@H]1CNC[C@H](N2CCCCC2=O)C1 ZINC000232078588
Cc1cc(-c2nc(N)nc3[nH]ncc23)ccc1F ZINC000020572499
CCN1c2ccccc2CC[C@H]1CN ZINC000060394254
C[C@@H](O)[C@H]1CNCCN1 ZINC000039095763
Cc1cccc(CC(C)(C)N)c1 ZINC000006071562
CN1CCC(N2CCC[C@@H](CN)C2)CC1 ZINC000016941913
CC(C)(C)OC(=O)[C@H]1CC[C@H](N)CC1 ZINC000113358738
Nc1ccc2c(c1)OC1(CCC1)CC2=O ZINC000306145430
CCCOCCOCC1CCNCC1 ZINC000042776104
CC(C)(N)Cc1ccc(N)cc1 ZINC000001698308
CC(C)c1ccc(Oc2ccccc2N)cc1 ZINC000014629171
CCC(=O)N1CCC(N)CC1 ZINC000019093233
COc1ccc(NC(=O)c2cccc(N)c2)cc1 ZINC000000342656
c1ccc2cc(CNCc3ccncc3)ccc2c1 ZINC000016941721
c1cc2c(C[C@H]3CNCCOC3)nccn2c1 ZINC000257198091
COc1cccc([C@@H](CN)N2CCCCC2)c1 ZINC000032497036
CC(C)CNCc1ccncc1 ZINC000005817306
C1CN2CC[C@@H]3NCCN4CC[C@H](N1)[C@H]2[C@H]34 ZINC000023363448
CC(=O)c1cc(N)c(O)c(F)c1 ZINC000041652474
NCC1CCN(CCCN2CCCCC2)CC1 ZINC000096523634
CCCCCCOc1ccc(N)cc1 ZINC000001670233
Cc1nn([C@@H]2CCS(=O)(=O)C2)c(C)c1CN ZINC000019434980
COC[C@@H](C)NCc1cccc(F)c1 ZINC000000275028
Cn1cnc(-c2nnc3n2CCNC3)c1 ZINC000536948636
CCN(C)C(=O)[C@@H](N)C(C)C ZINC000037078912
NCc1ccc(C(=O)OCc2ccccc2)cc1 ZINC000013802951
Cc1cc(C)n2c(CCN)nnc2n1 ZINC000036827773
CN1CC2(CCN2)C1 ZINC000142829074
Fc1ccccc1-c1n[nH]c2c1[C@H]1CC[C@H](C2)N1 ZINC000110751212
C(CNCCCC1CCC1)CC1CCC1 ZINC000096528616
C#Cc1ccc(C2(N)CCCCC2)cc1 ZINC000238563457
COCCOc1ccc(C(F)(F)F)cc1N ZINC000003276766
CCCOc1ccc(CCN)cc1OC ZINC000011864567
COc1cc(N)c2[nH]ccc2c1 ZINC000014986031
NCc1cn2c(n1)SCC2 ZINC000003883058
CC(C)[C@@H](N)c1n[nH]c(-c2ccc(O)cc2)n1 ZINC000095534723
Cn1ccc(S(=O)(=O)N2CCNCC2)c1 ZINC000012891409
COC(=O)[C@H]1CNC[C@@H]1c1cccnc1 ZINC000002386744
N[C@H]1C[C@H](O)C12CCOCC2 ZINC000675050826
N#Cc1ccc(Oc2cccc(N)c2)cc1 ZINC000003163730
CS[C@@H]1CNC[C@@H]1N(C)C ZINC000082164082
C1COC[C@@H](CC2CCOCC2)N1 ZINC000259095426
CCOC(=O)[C@@H](N)CCSC ZINC000054954611
