Cc1cc(B(O)O)sc1C=O ZINC000169744850
Cc1cc(B(O)O)c(C)c([N+](=O)[O-])c1 ZINC000306670184
OB(O)c1cc(F)cc2cccnc12 ZINC000169746613
COCCOc1c(F)c(C)cc(B(O)O)c1F ZINC000169955163
OB(O)c1c(F)cccc1Oc1ccccc1 ZINC000169748088
COC(=O)c1ccc(B(O)O)cn1 ZINC000169748056
CC#Cc1ccc(B(O)O)cc1 ZINC000200991203
CCCn1nccc1B1OCC(C)(C)CO1 ZINC000169794317
O=[N+]([O-])c1c(F)cc(F)cc1B(O)O ZINC000169745645
O=c1[nH]c2ccc(B(O)O)cc2o1 ZINC000169991393
CCOc1cc(C(F)F)ccc1B(O)O ZINC000575629517
CC(C)CSc1cccc(B(O)O)c1 ZINC000169951618
CC(C)(C)OC(=O)Nc1cccc(B(O)O)c1 ZINC000169744157
CCn1cc(B2OC(C)(C)C(C)(C)O2)c(C)n1 ZINC000211226460
COc1ccc(C(F)(F)F)c(F)c1B(O)O ZINC000169955180
Cc1c(B(O)O)csc1C=O ZINC000169902030
Cn1cnc2cc(B(O)O)c(F)cc21 ZINC000170001190
CCCCCOc1ncc(C)cc1B(O)O ZINC000169934591
CC1(C)OB(c2ccc(F)cc2C#N)OC1(C)C ZINC000169747396
CCCOc1cc(OC)cc(B(O)O)c1 ZINC000169934632
OB(O)c1cccc2cccnc12 ZINC000169743272
Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(C#N)n1 ZINC000200326642
CC(C)Oc1ccc(F)c(F)c1B(O)O ZINC000382772108
OB(O)c1cc(CN2CCOCC2)ccc1F ZINC000197861740
CC(C)OS(=O)(=O)c1ccccc1B(O)O ZINC000195882017
CCCCN1CCOB(c2ccccc2)OCC1 ZINC000170161401
CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C ZINC000169745263
C=C(C#N)c1ccccc1B(O)O ZINC000169746643
COc1cc(B(O)O)cc([N+](=O)[O-])c1 ZINC000206079413
CC(C)(C)C(=O)Nc1ccccc1B(O)O ZINC000169743622
Cc1c[nH]c2ccc(B(O)O)cc12 ZINC000196947648
OB(O)c1cc(C(F)(F)F)cc2[nH]ncc12 ZINC000222354825
CCCOc1ccc(C(F)(F)F)cc1B(O)O ZINC000169934194
COCOc1cc(C)c(B(O)O)c(C)c1 ZINC000169994212
CC(C)(C)OC(=O)c1ccc(B(O)O)cc1 ZINC000169744978
CCc1nnc(-c2cccc(B(O)O)c2)o1 ZINC000170001521
CC(C)COc1cc(B(O)O)c(F)cn1 ZINC000228983958
N#Cc1cccc(F)c1B(O)O ZINC000169747333
COc1ccc(B(O)O)c(C(F)(F)F)c1 ZINC000169744874
CC1(C)OB(c2ccc(C#N)o2)OC1(C)C ZINC000169794688
Cc1ccc(C#N)cc1B(O)O ZINC000169748068
CC(C)c1cc(B(O)O)ccc1O ZINC000169995379
COC(=O)c1cc(B(O)O)cc(F)c1F ZINC000169904790
COc1ccc2c(B(O)O)cccc2c1 ZINC000199842371
OB(O)c1cccnc1OC(F)F ZINC000169992858
CC(C)(C)OC(=O)Nc1cc(B(O)O)ccn1 ZINC000198023830
Cc1cccc(O)c1B(O)O ZINC000222153359
Cc1cc(S(C)(=O)=O)ccc1B(O)O ZINC000170001546
CC[C@H](C)CB(O)O ZINC000203446938
Cc1ncc(B2OC(C)(C)C(C)(C)O2)n1C ZINC000169747212
CCCOc1ccc(B(O)O)cc1C ZINC000169743928
OB(O)c1ccccc1OCc1ccc(F)cc1 ZINC000169877271
OB(O)c1ccc(Oc2ccc(F)cc2)nc1 ZINC000169978095
