CC1(C)OB(c2cncc(C3CC3)c2)OC1(C)C ZINC000169968978
CC(C)C(=O)CB1OC(C)(C)C(C)(C)O1 ZINC000170007052
CC(C)(C)CCB1OC(C)(C)C(C)(C)O1 ZINC000196470483
CC1(C)OB(c2ccc3cncn3c2)OC1(C)C ZINC000514251812
Cc1nnc(-c2ccc(B(O)O)cc2)o1 ZINC000169745467
CCCCn1nnc2cc(C#N)cc(B(O)O)c21 ZINC000170001832
COc1cccc(-c2ccc(B(O)O)cc2)c1 ZINC000169844717
OB(O)Cc1c(F)cccc1F ZINC000170000782
OB(O)c1ccc(O)c(O)c1 ZINC000200990630
COC/C=C/B1OC(C)(C)C(C)(C)O1 ZINC000169877031
O=[N+]([O-])c1cc(O)cc(B(O)O)c1 ZINC000169917442
OB(O)c1cnc(C(F)(F)C(F)(F)F)nc1 ZINC000306145847
CCCn1cnc2cc(B(O)O)c(F)cc21 ZINC000170001418
OB(O)c1ccc(CN2CCC2)cc1 ZINC000170009094
CN1CC(=O)OB(C2CCCC2)OC(=O)C1 ZINC000170170727
CC1(C)OB(Cc2ccccc2)OC1(C)C ZINC000169744900
CC(C)C(=O)Nc1ccc(B(O)O)cc1 ZINC000169745151
CN(C)Cc1ccc(F)cc1B(O)O ZINC000203191858
Cn1nccc1B(O)O ZINC000169745253
O=c1[nH]c(=O)c2ccc(B(O)O)cc2[nH]1 ZINC000199743182
CCOC(=O)CCCB1OC(C)(C)C(C)(C)O1 ZINC000203257546
OB(O)c1ccc2c(c1)CCCC2 ZINC000169922585
OB(O)c1ccn2ncnc2c1 ZINC000199347948
OB(O)c1cncc(OCC(F)(F)F)c1 ZINC000203524558
OB(O)c1ccc(N2CCCC2)nc1 ZINC000169748351
CC(C)Oc1ccc(B(O)O)c(F)c1 ZINC000169745914
NC(=O)c1cc(B(O)O)cc([N+](=O)[O-])c1 ZINC000169745511
COc1c(F)cc(F)cc1B(O)O ZINC000169743282
CCOc1nccc(C)c1B(O)O ZINC000169969047
COc1cc2ccc(B(O)O)cc2cn1 ZINC000169809986
OB(O)c1cccc2ccsc12 ZINC000169889670
CC(C)CSc1ccc(B(O)O)cn1 ZINC000169934124
OB(O)c1cnc2ccccn12 ZINC000198961157
Cc1ccccc1Oc1ccccc1B(O)O ZINC000170002536
CC1(C)OB(C2CCCCCC2)OC1(C)C ZINC000169746645
Cc1ccc(F)c(B(O)O)c1F ZINC000169934801
CC1(C)OB(c2cncs2)OC1(C)C ZINC000169809956
CC(=O)N1CC=C(B(O)O)CC1 ZINC000198039337
OB(O)c1cnc(N2CCC(F)CC2)nc1 ZINC000169747360
COc1cc(B(O)O)c(OC)cc1C ZINC000197404800
OB(O)c1c(F)cc(N2CCOCC2)cc1F ZINC000202066540
O=Cc1cc(C=O)cc(B(O)O)c1 ZINC000169876968
OB(O)c1c(O)cccc1F ZINC000169748230
O=[N+]([O-])c1cccc(-c2ccc(B(O)O)cc2)c1 ZINC000196398591
COC(=O)Cc1ccc(B(O)O)c(F)c1 ZINC000203369481
O=C(NCCO)c1ccc(B(O)O)cc1 ZINC000169745435
OB(O)c1ccc2c(c1)OCCO2 ZINC000169746978
OB(O)Cc1cccc(OCc2ccccc2)c1 ZINC000170001901
CO[C@H]1CC=C(B2OC(C)(C)C(C)(C)O2)CC1 ZINC000202718508
CCCn1nccc1B1OC(C)(C)C(C)(C)O1 ZINC000169747962
OB(O)c1ccc(B(O)O)s1 ZINC000169747242
Cc1cnc(C)c(B(O)O)c1 ZINC000169794634
CSc1cc(F)cc(B(O)O)c1 ZINC000209812138
OB(O)c1cccc2occc12 ZINC000196627896
COc1ccc(B(O)O)[n+]([O-])c1 ZINC000170001342
CCCOc1ccc(B(O)O)cc1 ZINC000169745137
CCOC(=O)c1cccc(B(O)O)c1F ZINC000169744680
CCOc1c(F)c(F)c(B(O)O)c(F)c1F ZINC000169806948
CC1(C)OB(c2c(F)cncc2F)OC1(C)C ZINC000169935346
