Cc1ncc(B(O)O)cc1C(F)(F)F ZINC000238571265
CN(C)S(=O)(=O)c1ccc(B(O)O)cc1F ZINC000230551823
CCN(CC)C(=O)c1cccc(B(O)O)c1F ZINC000169744678
CN1CCN(c2ncc(B(O)O)cn2)CC1 ZINC000169794745
Cn1ccc(-c2cccc(B(O)O)c2)n1 ZINC000407947227
C=Cc1ccc(B(O)O)cc1 ZINC000169743279
OCCOc1cccc(B(O)O)c1 ZINC000216700909
Cc1ccc(B(O)O)c(C)c1F ZINC000201077054
OB(O)c1cccc(F)n1 ZINC000169747392
OB(O)c1ccc(C(F)(F)F)cc1F ZINC000169744958
OB(O)c1c(F)cccc1OCc1ccccc1 ZINC000169745499
OB(O)c1cccc2c1OCCO2 ZINC000169746981
CC1(C)OB(c2ccc(B(O)O)o2)OC1(C)C ZINC000169746671
CC(C)(C)/C=C/B(O)O ZINC000169745447
Cc1cccc(B2O[C@@H](C)CC(C)(C)O2)c1 ZINC000169807753
Cc1ccc2cccc(B(O)O)c2c1 ZINC000199096254
CC(C)(C)OC(=O)n1ccc(B(O)O)c1 ZINC000169933895
Cc1cnc(OC2CCCC2)c(B(O)O)c1 ZINC000169934600
OB(O)c1cncnc1 ZINC000169743658
COc1ccc(B(O)O)c(F)c1OCC(C)C ZINC000169951675
COCc1ccccc1B(O)O ZINC000169743676
CC1(C)COB(c2ccc([N+](=O)[O-])cc2)OC1 ZINC000169835748
COc1ccc(-c2ncncc2B(O)O)cc1 ZINC000170001767
Cn1ccc2cccc(B(O)O)c21 ZINC000169955622
O=Cc1ccc(B(O)O)cc1 ZINC000169743256
COc1ncccc1B(O)O ZINC000169743439
Cc1ccc(-c2ccc(B(O)O)c(F)c2)cc1 ZINC000215760098
CC(C)(C)NC(=O)c1ccc(B(O)O)cc1 ZINC000169743951
CC(C)OC(=O)Nc1cccc(B(O)O)c1 ZINC000169978211
COc1ccc(F)c(F)c1B(O)O ZINC000169747978
COc1ccc(C=O)c(B(O)O)c1 ZINC000169806824
CC(C)Oc1c(C=O)cc(C=O)cc1B(O)O ZINC000169746450
O=C(c1cc(B(O)O)ccc1F)N1CCCC1 ZINC000169745336
OB(O)c1ccc2c(c1)CC2 ZINC000196051840
CC(C)(O)/C=C\B1OC(C)(C)C(C)(C)O1 ZINC000203990421
C[C@@H](O)c1ccc(B(O)O)cc1 ZINC000169747167
CCOC(=O)CCCB1OC(C)(C)C(C)(C)O1 ZINC000203257546
Cc1cc(B(O)O)ccc1C=O ZINC000169748147
C=CCCCCCCB(O)O ZINC000169933840
OB(O)c1ccnc2ccncc12 ZINC001504308169
COc1ncccc1B1OC(C)(C)C(C)(C)O1 ZINC000169745938
OB(O)c1cccc(CO[C@@H]2CCOC2)c1 ZINC000203528038
CCN1CCN(Cc2ccccc2B(O)O)CC1 ZINC000199014174
CCN(CC)C(=O)c1ccc(B(O)O)cc1 ZINC000169744979
OB(O)c1ccc(OCc2ccccc2)cc1 ZINC000169745009
O=C1N=C2C=C[C@H](B(O)O)C=C2N1 ZINC000214829251
OB(O)c1ccnc(N2CCCCC2)c1F ZINC000242495722
OB(O)c1cccn2nnnc12 ZINC000170000825
CC[S@@](=O)c1ccccc1B(O)O ZINC000169746509
O=C1NC[C@@H](B(O)O)C(=O)N1 ZINC000169846382
O=[N+]([O-])/C=C\c1ccc(B(O)O)cc1 ZINC000195759064
Cc1nn(C)c2cccc(B(O)O)c12 ZINC000169809967
OB(O)c1cccc(-c2cccnc2)c1 ZINC000169744733
COc1ccc(C(C)(C)C)cc1B(O)O ZINC000169747047
OB(O)c1ccc(OCc2ccccn2)cc1 ZINC000169922453
OB(O)c1cc(F)c2ncccc2c1 ZINC000169794712
CCCNC(=O)c1cccc(B(O)O)c1 ZINC000169743989
CC(C)CNC(=O)c1ccc(B(O)O)cc1 ZINC000169745409
OB(O)c1ccccc1COCc1cccs1 ZINC000169926378
OB(O)c1c(F)ccc2[nH]ccc12 ZINC000238613244
OCc1ccc(B(O)O)o1 ZINC000169748019
OB(O)c1ccc(OC2CCOCC2)cc1 ZINC000169965872
Cc1cnc(B(O)O)c(F)c1 ZINC000170000764
O=C1CC=C(B(O)O)CC1 ZINC001772572490
CCc1ccc(B(O)O)cc1F ZINC000203362539
CCN(C)c1ccc(B(O)O)cn1 ZINC000211335574
CC1(C)OB(c2cccnn2)OC1(C)C ZINC000169748052
OB(O)c1ccc(F)c(F)c1F ZINC000169747053
OB(O)c1cc(F)cc(F)c1 ZINC000169746844
Cc1cc(C(F)F)sc1B(O)O ZINC000575628987
Cc1ccc(/C=C\B(O)O)cc1 ZINC000195813524
O=[N+]([O-])c1c(F)cc(F)cc1B(O)O ZINC000169745645
COc1cc(B2OC(C)(C)C(C)(C)O2)ccn1 ZINC000169747165
Cc1ccc2cc(B(O)O)ccc2n1 ZINC000169986703
C=C(B1OC(C)(C)C(C)(C)O1)C(C)(C)C ZINC000196120380
OB(O)c1cncc2cc[nH]c12 ZINC000169989224
OB(O)c1ccoc1 ZINC000169743258
CCCCOc1ccc(B(O)O)c(F)c1 ZINC000169748179
OB(O)c1cccc(SC2CCCCC2)c1 ZINC000169951642
OB(O)c1ccc(O[C@H]2CCCCO2)cc1 ZINC000169745171
CCCCOc1ccc(B(O)O)c(C)c1 ZINC000169747903
OB(O)c1ccnn1[C@H]1C[C@@H]1F ZINC000238631060
C[C@H](CO)c1ccc(B(O)O)cn1 ZINC000169748363
CC1(C)COB(c2cccnc2F)OC1 ZINC000169946577
CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C ZINC000169745263
Cc1cnc(F)c(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169747879
OB(O)c1cccc(-c2cccc3ccccc23)c1 ZINC000169744802
CC1(C)OB(c2cnco2)OC1(C)C ZINC000169996765
CN1CC(=O)OB(c2ccccn2)OC(=O)C1 ZINC000170000110
C/C=C/B1OC(C)(C)C(C)(C)O1 ZINC000169936145
Cc1cccc(B2OC(C)(C)C(C)(C)O2)n1 ZINC000169858387
COCc1ccc(B(O)O)cc1 ZINC000169744782
Cc1cc(F)cc(C)c1B(O)O ZINC000203698776
CC1(C)OB(C2=CC[C@@H](O)CC2)OC1(C)C ZINC000204272633
Cc1c(B(O)O)ccc2cccnc12 ZINC000170001060
C[C@H]1CC=C(B(O)O)CC1 ZINC000169743488
C=C(CCO)B1OC(C)(C)C(C)(C)O1 ZINC000170175234
Cc1cc(B(O)O)ccc1C(=O)OC(C)C ZINC000642814536
CC1(C)OB(C2=CCCO2)OC1(C)C ZINC000169747386
C=Cc1ccccc1B1OCCCO1 ZINC000169807821
Cc1cccc2c(B(O)O)ccnc12 ZINC000170001052
COC(=O)c1cccc(B(O)O)c1O ZINC000675050679
CCO/C=C/B1OC(C)(C)C(C)(C)O1 ZINC000169746070
C[C@H]1CC(C)(C)OB(C2CC2)O1 ZINC000169807911
Cc1cc(-c2ccccc2)ccc1B(O)O ZINC000204042109
CCOc1ccc(B(O)O)c(F)c1F ZINC000169744821
OB(O)c1ccc(O)cc1 ZINC000169743315
CCOc1ncccc1B(O)O ZINC000169747057
OB(O)c1cccc(-c2cc[nH]n2)c1 ZINC000169888775
CCCC1(C)COB(c2ccc(C)cc2)OC1 ZINC000169745542
C[C@H](O)c1ccc(B(O)O)s1 ZINC000222203724
Cc1nocc1B1OC(C)(C)C(C)(C)O1 ZINC000222901135
OB(O)c1cncc(-c2cccnc2)c1 ZINC000200998145
COc1ncnc2cc(B(O)O)ccc12 ZINC000238436460
OB(O)c1cc(F)cc(OCC(F)(F)F)c1 ZINC000169746663
CC1(C)OB(CC(F)(F)F)OC1(C)C ZINC001535538974
CC(=O)c1ccsc1B(O)O ZINC000169969410
OB(O)c1ccc(CC(F)(F)F)nc1 ZINC000169993494
CC(=O)c1ccc(B(O)O)s1 ZINC000169743359
CCNC(=O)c1cccc(B(O)O)c1F ZINC000169744698
CCCSc1ccc(B(O)O)cc1 ZINC000169844675
OB(O)c1ccc2c(c1)C=C2 ZINC000169748072
COc1ccc(OCC#N)c(B(O)O)c1 ZINC000170001064
Cc1ccc(C)n1-c1ccccc1B(O)O ZINC000170001507
CCOc1cc(C)cc(B(O)O)c1F ZINC000169955541
OB(O)c1cc(OCc2ccccc2)cnc1F ZINC000203598174
NC(=O)c1ccc(B(O)O)nc1 ZINC000202051589
CCSc1cccc(B(O)O)c1 ZINC000169835280
OB(O)c1ccccc1CN1CCCC1 ZINC000169794662
CCCCOc1cc(C)cc(B(O)O)c1 ZINC000169934001
CCOc1cc(B(O)O)ccc1C#N ZINC000169794709
Cc1nn(C)c(C)c1B(O)O ZINC000169794595
C=C(B(O)O)c1ccccc1 ZINC000169807637
Cc1cc(C=O)c(OC(C)C)c(B(O)O)c1 ZINC000169903740
O=c1cc[nH]c(B(O)O)c1 ZINC000198083789
OB(O)c1c[nH]cn1 ZINC000169748046
OB(O)c1ccc(N2CCCCC2)nc1 ZINC000169794743
OB(O)c1cccc(OC[C@H]2CCCCO2)c1 ZINC000169924427
CCOC(=O)c1ccc(OC)c(B(O)O)c1 ZINC000169747937
OB(O)c1ccccc1O[C@@H]1CCCCO1 ZINC000169904836
COc1cccc(B(O)O)c1C ZINC000169807356
OB(O)c1cc2[nH]ncc2cc1C(F)(F)F ZINC000258833856
OB(O)c1ccccc1-c1nn[nH]n1 ZINC000169743644
CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cn1 ZINC000169746467
OCc1ccc(B(O)O)cn1 ZINC000169743967
OB(O)C1=Cc2ccccc2C1 ZINC000170029820
Cn1nccc1-c1ccc(B(O)O)cc1 ZINC000169963220
CC(C)Oc1ncc(B(O)O)cc1C(F)(F)F ZINC001772572572
CC(C)Oc1cncc(B(O)O)c1 ZINC000169748038
CCOc1ccc(B(O)O)c(C)c1C ZINC000169995361
OB(O)c1ccc(F)s1 ZINC000198311556
CCCCCCc1ccc(B(O)O)cc1 ZINC000169744814
CCN(CC)Cc1cccc(B(O)O)c1 ZINC000169907131
OB(O)c1ccc([C@H](O)c2ccccc2)cc1 ZINC000169934528
Cc1ccn(-c2cccc(B(O)O)n2)n1 ZINC000169968723
Cc1ccc(F)c(B2OC(C)(C)C(C)(C)O2)c1 ZINC000199595232
CON(C)C(=O)c1cccc(B(O)O)c1 ZINC000169743998
C/C=C\B1OC(C)(C)C(C)(C)O1 ZINC000170174993
OB(O)c1ccc2cc(-c3ccccc3)ccc2c1 ZINC000169744816
COc1ccc(OC(F)(F)F)c(B(O)O)c1 ZINC000169904751
COCCOCc1ccc(B(O)O)cc1 ZINC000169926347
OB(O)c1cc(F)c(F)c(N2CCOCC2)c1 ZINC000230537608
CC(C)S(=O)(=O)c1ccc(B(O)O)cc1 ZINC000169745571
OB(O)c1ccc(C2(O)CCC2)cc1 ZINC000219373735
CN(C)C(=O)c1ccc(B(O)O)cc1F ZINC000169745126
CC1(C)OB(c2ccc(C=O)o2)OC1(C)C ZINC000169746727
Cc1ccc(COc2ccc(B(O)O)cc2)cc1 ZINC000169807377
Cc1cc(F)ncc1B1OC(C)(C)C(C)(C)O1 ZINC000169989609
OB(O)c1ccc(OCCCN2CCCC2)cc1 ZINC000198931835
CC[C@@H](C)CB(O)O ZINC000203446945
Cc1cc(S(N)(=O)=O)ccc1B(O)O ZINC000169811008
Cc1ccc(C)c(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169986454
OB(O)c1cc(F)ccc1CN1CCOCC1 ZINC000169926274
CC(C)(C)Oc1ncc(B(O)O)cn1 ZINC000198099607
CC1(C)OB(c2ccc3[nH]ccc3c2)OC1(C)C ZINC000169743329
OB(O)c1cnn(C(F)F)c1 ZINC000169992278
O=C(NCC(F)(F)F)c1ccc(B(O)O)cc1 ZINC000169743956
CC(C)Oc1ccc(F)c(B(O)O)c1 ZINC000169748022
C=C(B1OC(C)(C)C(C)(C)O1)c1ccc(F)cc1 ZINC000169745184
OB(O)c1c(F)cc(OCC2CC2)cc1F ZINC000675050701
CC1(C)OB(c2cccc(F)c2)OC1(C)C ZINC000169965019
CC1(C)OB(c2cc(C#N)cs2)OC1(C)C ZINC000169747466
CCOc1cc(B(O)O)ccc1OC(F)(F)F ZINC000169964688
OB(O)c1cc(-c2ccccc2)co1 ZINC000198084372
CCOC(=O)c1ccc(B(O)O)c(F)c1 ZINC000169744643
OB(O)c1cncc2c1CCCO2 ZINC000299738079
Cc1cccc(B2OCC(C)(C)CO2)c1 ZINC000169807403
c1csc(B2OCCCO2)c1 ZINC000169747447
CC1(C)OB(c2cc(O)cc(C#N)c2)OC1(C)C ZINC000200805081
OB(O)c1ccc(C(F)(F)F)cc1O ZINC000169746751
COc1nccc(SC)c1B(O)O ZINC000169995072
CCc1ccc(B(O)O)cn1 ZINC000169989579
N#Cc1cccc(B(O)O)n1 ZINC000169968830
CCCc1cc(B2OC(C)(C)C(C)(C)O2)ccn1 ZINC000198088531
CC1(C)OB(c2ccccc2NC=O)OC1(C)C ZINC000169809906
CC(=O)N1CCc2cc(B(O)O)ccc21 ZINC000206044090
CC(C)(C)OC(=O)N1CCC[C@@H]1B(O)O ZINC000169747024
OB(O)c1c(F)cc(O)cc1F ZINC000169747850
OB(O)c1ccc2[nH]c3ccccc3c2c1 ZINC000169846391
N#Cc1cc(B(O)O)cs1 ZINC000238638388
