CC1(C(=O)O)CC(F)(F)C1 ZINC000039066017
CCOc1ccc(CC(=O)O)cc1OC ZINC000000394790
O=C(O)CCc1nc(CCO)cnc1CCO ZINC000039624538
CC1(C)[C@@H]2CC[C@]1(C)C(=O)[C@@H]2CC(=O)O ZINC000100362737
Cc1nsc(C(=O)O)c1[N+](=O)[O-] ZINC000039083404
O=C(O)/C=C\C(=O)c1ccc2c(c1)NC(=O)CO2 ZINC000100446331
CC(C)(C)N1CC[C@H]1C(=O)O ZINC000000413889
CC(=O)NCCOc1ccc(C(=O)O)cc1 ZINC000002269405
O=C(O)[C@H]1CC12CCS(=O)(=O)CC2 ZINC000052126728
O=C(O)[C@H]1CN2CCN1CC2 ZINC000039988869
O=C(O)C1CC(CO)C1 ZINC000085210651
COc1cccc2nc(C(=O)O)sc12 ZINC000238339193
COc1ccc2c(c1)[C@@]1(CCO2)C[C@H]1C(=O)O ZINC000217036949
O=C(O)Cn1ccc(C(F)(F)F)n1 ZINC000002537058
COc1cncc(/C=C/C(=O)O)c1 ZINC000034300089
C[C@H]1CCCN([C@](C)(C(=O)O)c2ccccc2)C1 ZINC000041843361
O=C(O)c1csc(/C=C/c2cccnc2)n1 ZINC000096403895
CCO[C@H](C(=O)O)C1CCCC1 ZINC000147897554
O=C(O)CC(=O)Cc1cccc(C(F)(F)F)c1 ZINC000263623098
CCN(CC(=O)O)[C@@H]1CCCC[C@H]1NC(C)=O ZINC000247924819
CCN(CC)C[C@@H](C)C(=O)O ZINC000035759274
O=C(O)[C@@H](O)c1ccccc1 ZINC000000000036
O=C(O)c1ccc(C2CCCC2)s1 ZINC000054077849
COc1ccc(/C=C/C(=O)O)cc1CN(C)C ZINC000012355510
Cc1ccccc1OCc1cc(C(=O)O)co1 ZINC000016363039
C[C@@H]1C[C@@H](C(=O)O)[C@@H](C(F)(F)F)O1 ZINC000225764276
CC[C@@H]1CC[C@H](C(=O)O)N1C(=O)OC(C)(C)C ZINC000148363764
COc1ccc(OC)c(OCCC(=O)O)c1 ZINC000098179001
C[C@]1(CC(=O)O)CCS(=O)(=O)N1 ZINC000225441806
COc1cc(C[C@@H](C)C(=O)O)cc(OC)c1 ZINC000032303145
COCCCOc1ccc(C(=O)O)cn1 ZINC000037747046
CCCN1C(=O)S[C@@H](CC(=O)O)C1=O ZINC000001239576
NC(=O)CC(=O)O ZINC000000901948
Cc1ccccc1-c1ccc(O)c(C(=O)O)c1 ZINC000002525635
Cc1ccnc2ccc(CCC(=O)O)cc12 ZINC000082780842
C[C@@H]1CN([C@H](C)C(=O)O)C[C@@H](C)O1 ZINC000011798217
CN1CC[C@](NC(=O)OC(C)(C)C)(C(=O)O)C1 ZINC000069550336
O=C(O)c1cc2nnnn2c2ccccc12 ZINC000085863758
CC1(C)OC[C@H](c2cn(CC(=O)O)nn2)O1 ZINC000958527777
CCOc1cccc([C@H]2CNC(=O)[C@H]2C(=O)O)c1 ZINC000077426315
C[C@H](CS)C(=O)O ZINC000002567310
O=C(O)CCCc1nc2cc(F)ccc2[nH]1 ZINC000006445993
CO[C@H]1O[C@H](C(=O)O)[C@H]2OC(C)(C)O[C@@H]12 ZINC000002382906
O=C1[C@H]2C[C@H](C(=O)O)CC[C@@H]2N2CCC[C@@H]12 ZINC000085398555
C=CCNC(=O)[C@H]1CC=CC[C@H]1C(=O)O ZINC000001604365
C/C(=C/c1ccccn1)C(=O)O ZINC000203845356
CN(C)c1c(C(=O)O)cnc2ccccc12 ZINC000032500192
CO/N=C(\C#N)C(=O)O ZINC000034223188
Cc1cc(CC(=O)O)c(C)cc1CC(=O)O ZINC000004338638
COc1ccc(C(=O)O)cc1N1CCOCC1 ZINC000008703658
CCOc1nc2ccc(F)cc2cc1C(=O)O ZINC000685937720
