O=C(O)c1cc(C(=O)O)cc(-n2cnnc2)c1 ZINC000034929298
C[C@H]1C[C@H](C(=O)O)C[C@@H](C)O1 ZINC000238854914
N#C[C@]1(c2ccccc2)CCC(=O)[C@H](C(=O)O)C1 ZINC000669371004
CCOc1cccc(C[C@H](C)C(=O)O)c1 ZINC000011976558
CN1CCC[C@H](C(=O)O)[C@@H]1C(=O)O ZINC000242750732
CCN1CN(CC(=O)O)CN(CC)C1=S ZINC000016839598
O=C(O)C[C@@H]1CCS(=O)(=O)N1 ZINC000095707981
COC(=O)[C@H]1C[C@H]1C(=O)O ZINC000039240026
CC(C)(C)OC(=O)N1C[C@H]2C[C@H]1[C@H]2C(=O)O ZINC000101372088
Cc1ccc2nc(C)cc(OCC(=O)O)c2c1 ZINC000019229402
CC(C)(C)OC(=O)N1CC[C@H]1C(=O)O ZINC000002379466
O=C(O)c1nc2cccc(O)c2s1 ZINC000238680915
CCCCCCC(=O)NCC(=O)O ZINC000013515489
O=C(O)C[C@H](C(=O)O)[C@@H]1CCCO1 ZINC000000035481
Cc1c(C(=O)O)sc2c1CCCC2 ZINC000068603526
O=C(O)CC1CCC(c2ccccc2)CC1 ZINC000000392285
CCc1nc(CN2CCC[C@@H](C(=O)O)C2)no1 ZINC000049335480
N#Cc1ccc(F)c(C(=O)O)c1F ZINC000075927053
O=C(O)C(=O)c1ccc([N+](=O)[O-])cc1 ZINC000002169168
Cc1ccc2c(c1)c(C)cc(=O)n2CCC(=O)O ZINC000000280449
Cc1oc(C(=O)O)cc1CS[C@@H](C)C(=O)O ZINC000004851309
O=C(O)[C@@H](c1cccs1)N1CCCCC1 ZINC000016764558
O=C(O)c1ccnc2c(O)cccc12 ZINC000001710266
O=C(O)C(=O)c1cc(F)c(F)cc1F ZINC000236426756
Cc1ccc(C[C@H]2C[C@H]2C(=O)O)cc1C ZINC000217823850
C[C@@H](C(=O)O)[C@@H]1SC(=O)NC1=O ZINC000003637790
CCN1CCN(CCC(=O)O)CC1 ZINC000019735421
O=C(O)/C=C/c1ccc([S@](=O)O)cc1 ZINC000306746099
Cc1sc(-n2cccc2)c(C(=O)O)c1C ZINC000004065685
O=C(O)Cc1ccc(OC(F)(F)F)cc1F ZINC000091252019
CC(C)c1cc(C(=O)O)c2cnn(C(C)C)c2n1 ZINC000003349688
Cc1cc2cc(C(=O)O)[nH]c2cn1 ZINC000095919915
O=C(O)CSCc1cccc([N+](=O)[O-])c1 ZINC000000434120
CC1(C)C(=O)[C@]2(C(=O)O)CC[C@H]1C2 ZINC000000332963
O=C(O)c1ccccc1/C=N/c1nnc[nH]1 ZINC000100936130
C[C@H](C(=O)O)[C@H](C)C(=O)O ZINC000000388422
CC(C)c1noc2nc3c(c(C(=O)O)c12)CCC3 ZINC000062710606
O=C(O)c1nccnc1SCc1ccccc1 ZINC000054553828
O=C(O)c1cccc2sncc12 ZINC000107126692
C[C@H](NC(=O)c1ccoc1)C(=O)O ZINC000021958923
O=C(O)/C=C/c1c(O)[nH]c2ncccc2c1=O ZINC000035183103
CCOC(=O)[C@@H](NC(C)=O)C(=O)O ZINC000002171894
O=NN(O)CC(=O)O ZINC000005493099
CC[C@H](CC(=O)O)C(C)(C)C ZINC000082850011
CC(C)CNC(=O)[C@@H]1[C@H]2C=C[C@@H](O2)[C@@H]1C(=O)O ZINC000105072158
O=C(O)c1ccc(OC[C@H]2CCCO2)cc1 ZINC000003286652
O=C(O)CO[C@@H](C(=O)O)c1ccccc1 ZINC000000395739
CN1C[C@@H](F)C[C@H]1C(=O)O ZINC000116341568
O=C(O)COc1ccc2c(c1)CCC2 ZINC000002039151
O=C(c1ccc[nH]1)N1CC[C@](F)(C(=O)O)C1 ZINC000124167123
O=C(O)c1ccc(-n2nnc3cccnc32)cc1 ZINC000021781844
CC(C)(C)OC(=O)NC1(C(=O)O)CCC1 ZINC000001433306
CCn1cc(S(=O)(=O)Cl)c(C(=O)O)n1 ZINC000103635466
C=CC(=O)Nc1ncc(C(=O)O)o1 ZINC000725256498
CCCc1noc2nc(CC)cc(C(=O)O)c12 ZINC000037288877
Cc1ccnc(N2CCC(C(=O)O)CC2)n1 ZINC000006746552
CS(=O)(=O)C1(C(=O)O)CC1 ZINC000052788876
Cc1nnnn1/C(=C/c1ccccc1)C(=O)O ZINC000006046047
CS(=O)(=O)[C@@H]1C[C@@]1(C#N)C(=O)O ZINC000217955620
CC(C)COc1cc(C(=O)O)ccc1F ZINC000095732462
CSc1cccc(-n2nnc(C(=O)O)c2C)c1 ZINC000016991788
C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1C(=O)O ZINC000035570870
O=C(O)[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO ZINC000008551134
COc1ccccc1-c1cccc(C(=O)O)n1 ZINC000020443276
O=C1NC[C@@H](C(=O)O)S1 ZINC000039065966
O=C(O)c1cnn(-c2ncccc2F)n1 ZINC000089263659
O=C(O)c1cc(-c2cccs2)[nH]c(=O)n1 ZINC000019702640
CCCCC[C@H](CCC)C(=O)O ZINC000002010963
N#Cc1cccc(C2(C(=O)O)CCC2)c1 ZINC000238696268
CC[C@H](Oc1ccccc1C)C(=O)O ZINC000000556199
CC(C)(C)ON(C=O)[C@H]1CC[C@@H](C(=O)O)C1 ZINC000091675727
CC1(C)OC[C@H]2C[C@]21C(=O)O ZINC000407985508
Cc1ccc(Oc2ccc(C(=O)O)o2)cc1C ZINC000020274377
CC(C)(C)C(=O)N1CCC[C@H]1C(=O)O ZINC000000227556
Cc1ccc2c(CC(=O)O)cc(=O)oc2c1 ZINC000000225819
Cc1nccn1Cc1ccc(C(=O)O)o1 ZINC000095854720
Cc1ccc(OCCN=[N+]=[N-])c(C(=O)O)c1 ZINC000306147554
CC(C)CCO[C@H](C)C(=O)O ZINC000019472941
COC(=O)[C@H]1C[C@H](C(=O)O)C1(C)C ZINC000225781379
COC[C@@H]1CCN(c2ccc(C(=O)O)cc2)C1 ZINC000081067550
COC(=O)c1cc(C(=O)O)ccc1O ZINC000014443336
COc1ccccc1[C@@H]1CN(C)C[C@@H]1C(=O)O ZINC000216412022
O=C(O)c1ccnc2c([N+](=O)[O-])cccc12 ZINC000026439129
O=C(O)c1ccc(/C=C/C(=O)c2ccco2)cc1 ZINC000010434971
Cc1nnc(COc2cccc(C(=O)O)c2)o1 ZINC000015418550
COc1cccc(N(C)CCCC(=O)O)c1 ZINC000049970411
C[C@@H]1CCCN(c2ncc(C(=O)O)cn2)C1 ZINC000006681901
CC[C@H](C(=O)O)C1CCC2(CC1)OCCO2 ZINC000223877509
O=C(O)c1cc([N+](=O)[O-])c2ncccc2c1 ZINC000004228020
O=C(O)c1cnc2n1CCOC2 ZINC000082853361
CC(C)(C)c1ccc(C(=O)O)cc1[N+](=O)[O-] ZINC000000173340
O=C(O)C[n+]1cccc(O)c1 ZINC000033961433
O=C(O)c1cnn(CCF)c1 ZINC000087776011
O=C(O)CC1CCN(CCC(F)(F)F)CC1 ZINC000075175069
COc1c(C(=O)O)cccc1C(F)(F)F ZINC000034925426
CN(C)C(=O)[C@@H]1CC[C@](C)(C(=O)O)C1(C)C ZINC000011919769
O=C(O)[C@H](c1ccccc1)N1CCC(O)CC1 ZINC000021795126
O=C(O)c1cc2ccccn2n1 ZINC000004200688
COC1(C(=O)O)CCC(C(F)(F)F)CC1 ZINC000160611925
O=C(O)c1cc(C2CC2)n2c1CCC2 ZINC000218298021
CC(=O)N[C@@H](CCCNC(N)=O)C(=O)O ZINC000012494450
CCCOc1ccc(CC(=O)O)cc1 ZINC000004227515
Cc1nc(-c2ccc(O)cc2)sc1C(=O)O ZINC000004294446
Cn1ncc(C(=O)O)c1OCCF ZINC000242390292
O=C(O)C1=C(C(=O)O)[C@H]2[C@H]3[C@H]4[C@H]1[C@@H]1[C@H]4[C@H]3[C@@H]21 ZINC000254499354
C[C@H](OCCO)C(=O)O ZINC000019870478
COc1ccc(NC(C)=O)c(C(=O)O)c1 ZINC000000134025
Cn1c(-c2ccccc2)cc(C(=O)O)cc1=O ZINC000071533902
O=C(O)c1ccc(CO)cc1-n1cnnn1 ZINC000521401425
CCCC[C@@H](C(=O)O)C1=CCCCC1 ZINC000005554189
O=C(O)C[C@H](C/C=C\c1ccccc1)C(=O)O ZINC000017162033
CCC(CC)(NC(C)=O)C(=O)O ZINC000001665155
CCN(CC(=O)O)[C@H]1CCCC[C@H]1NC(C)=O ZINC000247924820
C[C@@H](C(=O)O)N1C(=O)c2ccncc2C1=O ZINC000019701904
Cc1cn2c(n1)CCC[C@H]2C(=O)O ZINC000082396666
O=C(O)CCCC(=O)Nc1ccc(F)cc1F ZINC000000100978
Cc1cc(C)c2[nH]c(C)c(CC(=O)O)c2c1 ZINC000002582685
NS(=O)(=O)c1cc(C(=O)O)cc(F)c1F ZINC000022144573
CCOc1ccc(/C=C(\NC(C)=O)C(=O)O)cc1 ZINC000005019588
O=C(O)COc1ccc(C(=O)O)cc1 ZINC000000156005
O=C(O)c1csc2cncnc12 ZINC000091691369
Cc1cc(C(=O)O)n(Cc2ccncc2)n1 ZINC000077324583
C=CCn1nc(C)cc1-c1ccc(C(=O)O)o1 ZINC000085392446
Cc1ccc([C@H](C)C(=O)O)cc1C ZINC000019726356
O=C(O)c1ccc2cnccc2c1O ZINC000117019289
O=C(O)c1cncc2nc[nH]c12 ZINC000089203346
C=CC(C)(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O ZINC000034511336
O=C(O)c1cc(C2CCCCC2)cs1 ZINC000040449063
CC(=O)Nc1ccc(/C=C/C(=O)O)cc1 ZINC000000161720
Cc1ccc([C@H]2C[C@H]2C(=O)O)cc1C ZINC000037380976
O=C(O)[C@H]1CC(=O)N(CCc2ccccc2)C1 ZINC000000266772
CC[C@H](C(=O)O)C1CCC(C(C)C)CC1 ZINC000685951469
CC1(C)CCC=C1C(=O)O ZINC000082165111
O=C(O)c1ccccc1-c1nc(S)n[nH]1 ZINC000034926219
Cc1ccc(C)n1-c1ccsc1C(=O)O ZINC000000082810
CC(C)n1cc(C(=O)O)c(C(=O)O)c1 ZINC000257198194
CC1=Nc2ccc(C(=O)O)cc2C1(C)C ZINC000005416663
Cc1cc(-c2cc(C(=O)O)ccc2F)ccc1F ZINC000065350107
CCCn1cc(C[C@@H]2C[C@@H]2C(=O)O)cn1 ZINC000217826415
O=C(O)C1=CCCN(C(=O)Cc2ccccc2)C1 ZINC000072226962
O=C(O)C1CCC2(CCCCC2)CC1 ZINC000001748918
O=C(O)c1cncc(N2CCCC2)c1 ZINC000026459760
Cc1oc2nc[nH]c(=O)c2c1C(=O)O ZINC000003888365
CCOc1ccc(OC)cc1CC(=O)O ZINC000020134018
O=C(O)CC[C@@H]1C=N[C@H](CCC(=O)O)C=N1 ZINC000097447445
COc1cccc(-c2cc(C(=O)O)no2)c1 ZINC000000810964
NC(=O)CC[n+]1cccc(C(=O)O)c1 ZINC000001707947
O=C(O)C[C@@H]1SC2=NCCCN2C1=O ZINC000219779396
