COC(=O)C12CCC(C(=O)O)(CC1)C2 ZINC000034144066
CCCCCC(C)(CC(=O)O)CC(=O)O ZINC000001666513
CN1CCC(COCC(=O)O)CC1 ZINC000079390297
C=C(C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O ZINC000005500513
O=C(O)[C@@H]1SC(=S)S[C@@H]1C(=O)O ZINC000062714287
COc1ccc2c(C)c(C(=O)O)oc2c1C ZINC000036657722
C=CCOc1cc(C(=O)O)cc2c1CCO2 ZINC000218820821
COc1ccc(C(=O)[C@@H]2CCC[C@H]2C(=O)O)cc1 ZINC000002574430
O=Cc1ccc(N2CC(C(=O)O)C2)cc1 ZINC000085210097
Cc1sc(-c2cccnc2)nc1C(=O)O ZINC000071478504
CC[C@@H](C(=O)O)C1(O)CCCCC1 ZINC000001842749
CCOC(=O)N1CSC[C@@H]1C(=O)O ZINC000000004388
COCc1cc(C(=O)O)on1 ZINC000113429679
COc1ccc(CC(=O)O)cc1[N+](=O)[O-] ZINC000003750873
O=C(O)c1cc2cc3c(cc2[nH]1)OCO3 ZINC000000489320
CCC[C@H](NC(=O)[C@H]1C[C@@H]1C1CC1)C(=O)O ZINC000134404834
CC(C)(C(=O)O)C1CCCC1 ZINC000071773310
O=Cc1ccc(O)c(CC(=O)O)c1 ZINC000225720750
CC(=O)N(C)C[C@@H]1CCCCN1CC(=O)O ZINC000079418235
O=C(O)C1(N2CCCC2)CCCC1 ZINC000019093612
CC(C)C[C@@H](CCO)C(=O)O ZINC000086338501
CP(C)(=O)c1cc(F)ccc1C(=O)O ZINC000238413961
C[C@H](CO)C(=O)O ZINC000000895528
CC1(C)C=Cc2cc(C(=O)O)ccc2O1 ZINC000015119467
O=C(O)/C=C/c1cccc(O)c1 ZINC000000155996
COC(=O)c1ncccc1C(=O)O ZINC000000093300
C[C@H]1C[C@H](C(=O)O)CN1C(=O)OC(C)(C)C ZINC000115841838
COc1cc([N+](=O)[O-])cc(C(=O)O)c1OC ZINC000057339921
O=C(O)C[C@H]1Oc2ccccc2NC1=O ZINC000003956909
O=C(O)c1nnc2c(F)c(F)ccc2c1O ZINC000225742793
Cc1nn(-c2ccccn2)nc1C(=O)O ZINC000089261690
O=C(O)C[C@@H](Cn1cnnn1)c1ccccc1 ZINC000000112615
CC(C)(C)OC(=O)N[C@@H](C(=O)O)[C@@H]1CCOC1 ZINC000022013969
O=C(O)C[C@H]1CCNC(=O)CC1 ZINC000217777785
O=C(O)COc1ccc2c(c1)OCCO2 ZINC000004039441
O=C(O)C1=CCCN(C(=O)C2CCCCC2)C1 ZINC000072226958
C[C@H]1[C@H](C(=O)O)[C@@]2(C)CC[C@H]1C(=O)C2 ZINC000257356102
O=C(O)Cc1cnc(-c2ccccc2F)[nH]c1=O ZINC000049468576
O=C(O)CC[P@@](=O)(O)c1ccccc1 ZINC000035635599
CCc1cccc(NC(=O)CCCC(=O)O)c1 ZINC000000375323
O=C(O)C1(c2ncccc2C(F)(F)F)CC1 ZINC000095094308
C[C@@H]1[C@@H](O)CC[C@@H](C(=O)O)C1(C)C ZINC000217625631
COc1ccccc1CNC(=O)/C=C/C(=O)O ZINC000000104122
Cc1ccc(-c2cc(F)cc(C(=O)O)c2)c(C)c1 ZINC000065349829
CCN(CC)C(=O)Oc1ccc(C(=O)O)cc1 ZINC000036657661
O=C(O)[C@@H]1CN(c2ccc(F)cc2)CCO1 ZINC000035605772
COC(=O)c1ccc(C(=O)O)cn1 ZINC000012370912
C[C@@H](C(=O)O)N1CCc2ccccc21 ZINC000011851966
Cc1nc(-c2ccn(C)n2)sc1CC(=O)O ZINC000083571579
CC(C)N(CCC(=O)O)C(=O)c1cncn1C ZINC000232633037
CC1(C)[C@@]2(CC(=O)O)CC[C@]1(C)[C@@H](O)C2 ZINC000072207011
Cc1c(CN2CCC(C(=O)O)CC2)cnn1C ZINC000012397712
O=C(O)c1nccn1Cc1ccccc1 ZINC000019941720
Cc1ccc(COc2ccsc2C(=O)O)cc1 ZINC000001395874
O=C(O)c1nc(-c2ccccc2)oc1C(=O)O ZINC000013863428
O=C(O)[C@H](Cc1ccccc1)N1CCCC1 ZINC000014001673
C[C@@H]1CC[C@H]1COc1ccc(C(=O)O)cn1 ZINC000096526337
CC(C)[C@H](NC(=O)c1ccncc1)C(=O)O ZINC000006364846
Cn1cc(C(=O)O)c(-c2nccs2)n1 ZINC000083142623
C[C@](O)(C(=O)O)c1ccccn1 ZINC000040733697
Cc1noc(C)c1S(=O)(=O)N[C@@H](C)C(=O)O ZINC000004218353
COCCOc1cnccc1C(=O)O ZINC000126706547
C[C@H](CC(F)(F)F)C(=O)O ZINC000005239698
CC(=O)N[C@@H](C(=O)O)C1CCC1 ZINC000083823109
C[C@@H](C(=O)O)S(=O)(=O)C[C@H]1CCCO1 ZINC000019505662
Cc1c(C(=O)O)c(=O)oc2cc(F)ccc12 ZINC000038339490
O=C(O)C(=O)Cc1c[nH]c2ccccc12 ZINC000001532617
CSc1c(C(=O)O)cnn1C ZINC000072226693
CC(C)Cn1cc(C=O)c2c(C(=O)O)cccc21 ZINC000019701913
Cc1ccc(-c2noc(CCC(=O)O)n2)c(C)c1 ZINC000089262118
CS[C@@H]1CCC[C@H]1C(=O)O ZINC000062766668
C=CCn1cc(C(=O)O)cc1C(C)=O ZINC000078404523
COc1ccc(/C=C/C(=O)O)cc1F ZINC000002504929
CC[C@@H](c1ccc(C(=O)O)o1)S(C)(=O)=O ZINC000062702069
O=C(O)CCCc1ccc2c(c1)OCCO2 ZINC000004277054
CC1(C)[C@H](CC(=O)O)CC[C@@]12NC(=O)NC2=O ZINC000072207092
COc1ccc(C(=O)CCC(=O)O)cn1 ZINC000043210587
CCN1C(=O)C[C@H](C(=O)O)[C@@H]1c1cccc(C)c1 ZINC000004235152
CCCc1nc2ccccc2c(C(=O)O)c1CC ZINC000003268239
COc1ccc2ccc([C@H](C)C(=O)O)cc2c1 ZINC000038417735
CC[C@H](C)C(=O)N1CSC[C@H]1C(=O)O ZINC000019487807
CC1=CC=CC2=NC(=O)C[C@](C)(C(=O)O)N12 ZINC000019461962
O=C(O)[C@H]1CCCC[C@H]1C(=O)NC1CCCC1 ZINC000000461599
C[C@H]1C[C@@H](C(=O)O)CC[C@H]1C ZINC000039066531
CC(=O)[C@@H]1CC(C(=O)O)=NN1c1ccccc1 ZINC000047844107
CC(C)n1nc(C(=O)O)c2ccccc2c1=O ZINC000003324552
O=C(O)c1ccc(C(F)(F)C(=O)O)cc1 ZINC000107269797
