O=C(O)Cc1nc(C(F)(F)F)ccc1Cl ZINC000238609859
CC(C)Oc1cc(Cl)c(C(=O)O)cc1Cl ZINC000089261749
O=C(O)Cn1nnc(-c2cccc(Cl)c2)n1 ZINC000012428749
O=C(O)c1nc(Br)ccc1F ZINC000085221912
O=C(O)c1cc(O)c(Br)cn1 ZINC000238653225
Cc1ccc(/C=C/C(=O)O)c(Br)c1 ZINC000003399301
O=C(O)c1ncc(Cl)cc1Br ZINC000040566547
Cc1cc(CCC(=O)O)ccc1Br ZINC000036205464
Cc1cc(Cl)ccc1O[C@H](C)C(=O)O ZINC000000256144
O=C(O)c1cc(=O)n(-c2ccc(Cl)cc2)[nH]1 ZINC000020134351
O=C(O)[C@H]1C[C@H]1c1ccccc1Cl ZINC000020391878
O=C(O)c1[nH]cnc1Br ZINC000084252101
O=C(O)C(C(=O)O)c1cc(Cl)cc(Cl)c1 ZINC000098179747
O=C(O)c1cnc(-c2cccc(Cl)c2)nc1 ZINC000008730986
CCN(CC(=O)O)c1cc(Cl)ccc1C ZINC000076612886
O=C(O)[C@H]1CCCCN1c1ccnc(Cl)n1 ZINC000072203527
O=C(O)c1ccnc(Cl)n1 ZINC000026459787
O=C(O)[C@H]1CS[C@H](c2ccccc2Cl)N1 ZINC000000080570
O=C(O)/C=C\C(=O)Nc1cccc(Cl)c1 ZINC000029786494
C[C@H](NC(=O)c1cc(Cl)n(C)n1)C(=O)O ZINC000045930033
Cc1[nH]c2c(C)ccc(Cl)c2c1CC(=O)O ZINC000003748634
O=C(O)Cc1nc2c(Cl)cccc2s1 ZINC000083069245
O=C(O)c1cc2ccc(Br)cn2n1 ZINC000035269956
CCc1n[nH]c(C(=O)O)c1Br ZINC000044242579
Cc1onc(-c2ccccc2Cl)c1C(=O)O ZINC000000105306
O=C(O)CN1C(=O)[C@@H]2CC=C(Cl)C[C@H]2C1=O ZINC000095521287
O=C(O)c1cc2ncn(C3CC3)c2cc1Cl ZINC000214187461
Nc1c(F)cc(Br)cc1C(=O)O ZINC000002523074
Cc1ccc2cc(Cl)cc(C(=O)O)c2n1 ZINC000082769957
CCCn1cc(Cl)c(C(=O)O)n1 ZINC000002537964
NC[C@H](Cc1ccc(Cl)cc1)C(=O)O ZINC000011979190
Nc1c(Cl)ccc(F)c1C(=O)O ZINC000062996676
O=C(O)CSc1cccc(Cl)c1 ZINC000011863385
Cc1cc(F)c(C(=O)O)cc1Cl ZINC000075629665
O=C(O)Cn1ccc2ccc(Cl)cc21 ZINC000019702658
O=C(O)c1[nH]c2cccnc2c1Br ZINC000168589257
O=C(O)CCc1ccccc1Br ZINC000001764338
O=C(O)Cc1ccncc1Cl ZINC000044376191
O=C(O)c1cc2nc(Cl)ccc2s1 ZINC000258097771
COc1c(F)ccc(Br)c1C(=O)O ZINC000211914188
O=C(O)c1cc(Cl)cc(C(=O)O)n1 ZINC000001733367
O=C(O)c1cc(Br)cc2c[nH]nc12 ZINC000076935873
Cc1ccc(C(=O)O)nc1Br ZINC000095830097
Cc1c(Br)cc(C(=O)O)c(C)c1C ZINC000000392136
