O=C(O)/C=C/c1c(F)cc(Cl)cc1Cl ZINC000263625330
Cc1c(Br)cnn1CCC(=O)O ZINC000002549488
O=C(O)c1cc2c(Cl)cc(Cl)cc2[nH]1 ZINC000002557959
O=C(O)Cc1cc(Br)ccc1Cl ZINC000034574750
CC(=O)Oc1c(C)cc(Cl)c(C)c1C(=O)O ZINC000057339608
CO[C@@H](C(=O)O)c1ccc(Cl)cc1 ZINC000001734855
O=CN[C@H](Cc1cccc(Cl)c1)C(=O)O ZINC000069553304
CS(=O)(=O)c1cc(C(=O)O)c(Cl)cn1 ZINC000238857285
Cc1nc(N(C)C)c(Cl)cc1C(=O)O ZINC000095097598
CN(CC(=O)O)Cc1ccc(Cl)nn1 ZINC000079436000
O=C(O)c1c[nH]c2nccc(Cl)c12 ZINC000019046167
O=C(O)c1csc(-c2ncccc2Cl)n1 ZINC000083368797
O=C(O)[C@@H]1C[C@H]1c1ccc(Cl)cc1 ZINC000001672313
CCOc1cc(Cl)c(C(=O)O)cc1[N+](=O)[O-] ZINC000142442486
N[C@@H](CC(=O)O)c1ccc(O)c(Cl)c1 ZINC000044196961
Cc1ccc(-c2cccc(C(=O)O)c2)cc1Cl ZINC000004204213
CCN(CC(=O)O)c1cc(Cl)ccc1C ZINC000076612886
Cc1ccc(/C=C/C(=O)O)c(Br)c1 ZINC000003399301
CCCN(CC(=O)O)c1cccc(Cl)c1 ZINC000037474515
O=C(O)c1n[nH]c2nccc(Cl)c12 ZINC000606303169
O=C(O)c1cc([N+](=O)[O-])cnc1Cl ZINC000008698230
O=C(O)[C@H](O)Cc1ccccc1Cl ZINC000032009960
COc1nn(C)c(C(=O)O)c1Cl ZINC000107317210
O=C(O)CSc1ccccc1Cl ZINC000001603683
Cn1ccc(Cl)c1C(=O)O ZINC000098179489
O=C(O)c1c(F)c(Cl)cc(F)c1Cl ZINC000067800177
O=C(O)c1cc2cc(Br)ncc2[nH]1 ZINC000040571769
O=C(O)[C@@H](Cl)c1ccc(Cl)cc1 ZINC000034068785
C[C@H](Oc1cc(Cl)ccc1Cl)C(=O)O ZINC000000393617
CCc1n[nH]c(C(=O)O)c1Br ZINC000044242579
O=C(O)CSc1ccc(F)cc1Cl ZINC000000131938
COc1cc(Cl)c(/C=C/C(=O)O)cc1OC ZINC000066148486
C/C(=C(/Br)C(=O)O)C(F)(F)F ZINC000036533651
O=C(O)c1c(Cl)ncc2c1CCCC2 ZINC000082964464
CC[C@@H](C(=O)O)n1ncnc1Cl ZINC000223250322
Cc1cc(Br)ccc1CC(=O)O ZINC000057953343
COc1cc(Br)c(F)cc1C(=O)O ZINC000214488788
O=C1C[C@H](c2cccc(Cl)c2)[C@@H](C(=O)O)N1 ZINC000040449245
O=C(O)c1nc(N2CCCC2)sc1Cl ZINC000085396891
Cc1cc(Cl)c(C(=O)O)cc1N ZINC000079064394
C[C@H](C(=O)O)[C@@H](C)c1ccccc1Cl ZINC000087925864
O=C(O)[C@H]1O[C@@H]1c1ccc(Cl)cc1 ZINC000034154797
C[C@H](Oc1ccc([N+](=O)[O-])cc1Cl)C(=O)O ZINC000006249497
O=C(O)c1c(Cl)cnn1CC(F)F ZINC000408716046
O=C(O)C[C@@H]1CNN=C1c1ccc(Cl)cc1 ZINC000034342688
O=C(O)c1c([N+](=O)[O-])cc(Cl)cc1[N+](=O)[O-] ZINC000014982377
O=C(O)c1cnn(-c2cccnc2Cl)n1 ZINC000089262191
O=C(O)[C@H]1CCN(c2nccnc2Cl)C1 ZINC000096515929
O=C(O)[C@@H]1C[C@H](O)c2cc(Cl)ccc2O1 ZINC000038541109
O=C(O)/C=C/c1cc2c(cc1Cl)OCO2 ZINC000002504988
O=C(O)c1c(Br)cccc1[N+](=O)[O-] ZINC000034080222
CCc1c(Cl)cccc1C(=O)O ZINC000039233619
O=C(O)c1cn(-c2cccc(Cl)c2)nn1 ZINC000020216562
CC[C@@H](Oc1cc(Cl)ccc1Cl)C(=O)O ZINC000002526148
Cc1c(C(=O)O)cc(Cl)nc1Cl ZINC000098091101
Cc1cc(/C=C/C(=O)O)cc(Cl)c1Cl ZINC000263624076
O=C(O)CCc1ccc(Cl)nc1 ZINC000039326022
O=C(O)/C=C/C1=Cc2cc(Cl)ccc2OC1 ZINC000004218923
C[C@@](N)(C(=O)O)c1cccc(Br)c1 ZINC000002046044
O=C(O)c1sc2cc(O)cc(O)c2c1Cl ZINC000228954239
Cc1ccc(C[C@H](C(=O)O)N(C)C)cc1Cl ZINC000057533807
Cc1nn(CCCC(=O)O)c(C)c1Cl ZINC000020314410
CC(C)Oc1ccc(C(=O)O)c(Cl)c1 ZINC000061848545
Cc1cc(C(=O)O)c(Cl)cc1[N+](=O)[O-] ZINC000039118892
O=C(O)c1cc(=O)c2cccc(Cl)c2[nH]1 ZINC000004771615
