COc1ccc(CCCC(=O)O)c(Cl)c1 ZINC000036768802
Cc1c(C(=O)O)nnn1-c1ccc(Cl)cc1 ZINC000004943149
O=C(O)[C@H](O)c1cc(F)cc(Cl)c1Cl ZINC000263623614
O=C(O)CNc1ccc(F)c(Cl)c1 ZINC000020232044
O=C(O)[C@H](O)Cc1cc(Cl)cc(Cl)c1 ZINC000076164170
CCCc1n[nH]c(C(=O)O)c1Br ZINC000050324774
O=C(O)CNC(=O)c1c(F)cccc1Cl ZINC000004377435
O=C(O)c1cc2ccc(Cl)cc2s1 ZINC000004235095
CCCCn1nnc(C(=O)O)c1Cl ZINC000225766893
Cc1ccc(NC(=O)C(=O)O)cc1Cl ZINC000002379867
O=C(O)c1[nH]c2cccc(Cl)c2c1Cl ZINC000072220923
CC(C)(NC(=O)c1ccc(Cl)cc1)C(=O)O ZINC000030954603
O=C(O)c1cnc(Cl)c(C(F)(F)F)c1 ZINC000052507652
Nc1cc(C(=O)O)c(Cl)cc1Cl ZINC000004342612
O=C(O)CCC(=O)c1ccc(F)c(Cl)c1 ZINC000004242541
O=C(O)c1cc(Br)nc(C2CC2)c1 ZINC000137045612
CC(=O)N[C@@H](CC(=O)O)c1ccc(Cl)cc1 ZINC000012504816
Cc1nn(C/C=C/C(=O)O)cc1Br ZINC000096528697
O=C(O)C1(Cc2ccccc2Cl)CC1 ZINC000049814833
Nc1nc(N)c(C(=O)O)cc1Cl ZINC000098213471
N[C@@H](C(=O)O)c1cc(Cl)ccc1F ZINC000039712907
Cc1ccc(-c2ccc(C(=O)O)o2)cc1Cl ZINC000000509254
O=C(O)/C=C(\Cl)C(=O)O ZINC000004800622
O=C(O)[C@@H]1CCCN1Cc1cccc(Cl)c1 ZINC000003747854
CC(C)O[C@H](Cc1ccc(Cl)cc1)C(=O)O ZINC000220801514
C[C@](N)(Cc1ccc(Cl)cc1)C(=O)O ZINC000041227224
CO[C@H](C(=O)O)c1ccccc1Br ZINC000147861119
Cc1cc(C(=O)O)c(Br)s1 ZINC000030678000
O=C(O)c1cc2ccccc2c(Cl)n1 ZINC000020283423
C[C@H](Cc1cccc(Cl)c1Cl)C(=O)O ZINC000062711212
C[C@H](C(=O)O)c1c(Cl)cccc1Cl ZINC000047844158
Cc1c(Cl)ccc(/C=C/C(=O)O)c1Cl ZINC000146590563
COc1c(O)cc(C(=O)O)cc1Br ZINC000013379435
O=C(O)Cc1cc(Cl)cc2c1OCC2 ZINC000095348310
COc1ccc(Br)c(C(=O)O)c1N ZINC000040226017
COc1ccc(C(=O)O)cc1Br ZINC000000156527
N[C@H](Cn1cc(Br)cn1)C(=O)O ZINC000045437379
Nc1c(F)cc(Cl)cc1C(=O)O ZINC000020475945
N[C@@H](CC(=O)O)c1cc(Cl)cc(Cl)c1 ZINC000037423972
CCC(=O)Nc1cc(Cl)ccc1C(=O)O ZINC000004823089
N[C@H](CCc1cccc(Cl)c1Cl)C(=O)O ZINC000095749207
O=C(O)c1cc(F)cc(Cl)c1 ZINC000000732122
CCCC[C@@H](CC(=O)O)c1ccc(Cl)cc1 ZINC000005784227
O=C(O)c1c(Cl)cnc(F)c1Cl ZINC000036467253
O=C(O)COc1cc(Cl)ccn1 ZINC000000331592
Cc1cc(Cl)c(Cl)c(/C=C/C(=O)O)c1 ZINC000263624149
O=C(O)[C@H]1O[C@H]1c1cccc(Br)c1 ZINC000067801495
O=C(O)CCc1ccc(Cl)c(F)c1 ZINC000002528440
O=C(O)c1c(Cl)ccc2cc(Cl)cnc12 ZINC000000336447
COc1cc(C(=O)O)cc(Cl)c1OC(C)C ZINC000002656562
CC(C)(C)c1[nH]c(=O)c(C(=O)O)cc1Cl ZINC000096517584
C/C(=C\c1cccc(Br)c1)C(=O)O ZINC000004529040
O=C(O)CNc1ccc(Br)cc1F ZINC000008730570
Cc1cc(Cl)nc(C)c1C(=O)O ZINC000033570027
C[C@@H](NCc1c(F)cccc1Cl)C(=O)O ZINC000019787723
O=C(O)C[C@H](Cc1ccc(Cl)cc1)C(=O)O ZINC000004771972
O=C(O)c1nn(C(F)F)cc1Br ZINC000306200164
O=C(O)C1CCN(c2ccc(Cl)cn2)CC1 ZINC000022178543
CCc1ccc(Br)c(C(=O)O)c1 ZINC000095628572
CC(=O)c1c(Br)cncc1C(=O)O ZINC000199783896
O=C(O)C1(c2c(F)cccc2Cl)CCCC1 ZINC000005426428
Cc1cc(C(=O)O)nn1-c1ccc(Cl)cc1 ZINC000008700394
O=C(O)c1c(F)cc(Cl)cc1Cl ZINC000040571344
O=C(O)c1cc(O)c(Cl)c(Cl)c1 ZINC000116231002
CCCOc1ccc(Cl)cc1C(=O)O ZINC000002584127
O=C(O)[C@H]1O[C@@H]1c1cccc(Br)c1 ZINC000067801492
CN(CC(=O)O)Cc1c(F)cccc1Cl ZINC000032016120
