Oc1nc(-c2ccc(Br)cc2)no1 ZINC000020159575
Cc1ccc(Cl)c(Br)c1 ZINC000001724748
O=Cc1cc(F)cc(O)c1Br ZINC000307625390
Cn1c(C=O)cc2ncnc(Cl)c21 ZINC000095742890
[C-]#[N+]CCc1cccc(Br)c1 ZINC000095698340
OCCCc1ccc(Br)nc1 ZINC000085223662
Brc1ccc(/C=C/c2ncc[nH]2)cc1 ZINC000004024628
C[C@@H]1Cc2c(Br)cccc2[C@H]1O ZINC000086721616
CC(C)n1cc(Br)c(C#N)n1 ZINC000220773381
CCn1ncc(C#N)c1Br ZINC000218306459
COc1ncc(Br)cc1C(N)=O ZINC000091366370
CCOC(=O)c1[nH]c(C)c(C)c1Br ZINC000037624187
Cc1nc2c(C)cc(Br)cn2n1 ZINC000107815678
CCc1nc(Br)no1 ZINC000054957025
N#Cc1ccc(C2CC2)cc1Br ZINC000072193365
CN(C)c1ccc(I)nc1 ZINC000306929507
COc1ccc(I)nc1 ZINC000011535695
CCCC(=O)c1cc(Br)ccc1F ZINC000036180161
CC(C)(C)C(=O)Nc1ccc(Cl)cc1C=O ZINC000196184786
Cc1c(Br)ccc2c(C=O)c[nH]c12 ZINC000086033180
CCc1cc(C=O)ccc1Cl ZINC000067802852
O=C1CCSc2c(Br)cccc21 ZINC000037381331
CNC(=O)c1ccc(Br)cn1 ZINC000008699973
Clc1ccc2scc(Br)c2n1 ZINC000091302160
O=[N+]([O-])c1cc(Br)c2occc2c1 ZINC000141804334
CCOC(=O)c1cc(O)ccc1Br ZINC000071257051
O=Cc1c[nH]c2c(Cl)ncnc12 ZINC000066323438
Cc1ncc(Br)c(Cl)c1Cl ZINC000095949986
CC[C@@H](C)n1ncc(Br)c1COC ZINC000408716408
CCc1csc2ccc(Br)cc12 ZINC000095935684
CCOc1cc(C=O)cc(Br)c1O ZINC000000078254
CCOc1cc(CO)c(Br)cc1C ZINC000114356224
Cc1cc(Br)c(C)cc1Cl ZINC000055161637
N#CCc1cc(Br)ccc1[N+](=O)[O-] ZINC000032500992
N#CC[C@H](C#N)c1ccc(Br)cc1 ZINC000041264878
O=Cc1cc(F)ncc1Cl ZINC000095616309
O=S(=O)(O)c1ccc(Br)cc1 ZINC000001729188
O=Cc1ccc2c(c1Br)OCO2 ZINC000035904873
Clc1nc2c(Br)cccc2[nH]1 ZINC000057348360
CN1CCc2cc(Br)ccc21 ZINC000012370603
Cn1ncc2cncc(Br)c21 ZINC000082372941
Cc1ccn(-c2ccc(Br)cc2)n1 ZINC000038537734
Cc1ccccc1-n1cnc(Cl)c1C=O ZINC000040150499
O=c1nnc(I)c(O)[nH]1 ZINC000001078850
Brc1ccccc1N1CCCCC1 ZINC000002526756
O=Cc1ncc(Cl)cn1 ZINC000091366415
CC(C)c1ccc2[nH]ncc2c1Br ZINC000089196368
CCOc1cc(C=O)ccc1Cl ZINC000072233152
Ic1cnc2ccccn12 ZINC000020358108
CC(=O)NCc1ccc(Br)cc1C ZINC000095394732
COc1cc(C)c(Br)cc1C=O ZINC000083825901
Brc1ccc(-c2cncnc2)nc1 ZINC000045028437
Brc1cc[n+]2ccccc2c1 ZINC000000337512
N#CC1(c2ccc(Br)s2)CCC1 ZINC000084549315
Brc1nc(C2CCCC2)n[nH]1 ZINC000042384180
C=CCc1c(F)cc(Br)cc1F ZINC000606289211
Clc1ncnc2[nH]nc(Br)c12 ZINC000017141941
COc1c(F)cc(Br)cc1CO ZINC000091297242
Brc1ccccc1 ZINC000000900729
C[C@](O)(CO)c1ccc(Br)cc1 ZINC000038392585
C=Cc1cccc(Cl)c1Br ZINC000097436586
Cc1nc2cncc(Br)c2o1 ZINC000079058143
O=Cc1cc(Br)co1 ZINC000002567282
Cn1c(Cl)c(C=O)c(=O)n(C)c1=O ZINC000001559158
Cn1c(Br)cnc1-c1ccccc1 ZINC000141171941
Clc1cc(Cl)nc(Br)n1 ZINC000096135607
O=Cc1cnc(Cl)c(F)c1 ZINC000074937895
Oc1cc(F)cc(Br)c1F ZINC000214941244
Oc1cccc2c(Br)ccnc12 ZINC000001856922
Cc1ccc2[nH]ncc2c1Br ZINC000036533418
COC(=O)c1cc(Br)c(C=O)s1 ZINC000016698730
CCOC(=O)c1ncc(Br)cc1C ZINC000090413428
O=Cc1cc2c(cc1Br)CCC2 ZINC000237994926
O=Cc1c(Cl)cccc1Br ZINC000026545145
COC(=O)c1cc2oc(Br)cc2[nH]1 ZINC000049453419
Cc1cc(Br)cc(C)c1Cl ZINC000002243448
Fc1cc2cc(Br)cnc2cc1F ZINC000253496165
O=Cc1cncc(Cl)n1 ZINC000038258358
CCc1n[nH]c2ccc(Br)cc12 ZINC000045166760
CC(C)(C)c1ccc(O)c(Br)c1 ZINC000001640858
Cc1cc(S)c(F)cc1Br ZINC000036532972
COC(=O)c1csc(Br)c1F ZINC000212954095
Cc1cc(Cl)cc(C=O)c1 ZINC000034448546
CCOc1cc(C)cc(Br)c1 ZINC000062152414
NC(=O)c1csc(Br)n1 ZINC000040448313
Cn1cnc2ccc(Br)cc21 ZINC000012471780
CCOc1ccccc1Br ZINC000001586377
Fc1ccc2[nH]ncc2c1Br ZINC000080441558
Brc1cnn(C2COC2)c1 ZINC000095917998
Brc1cc2cc[nH]c2nn1 ZINC000211517620
COc1cc(C)c(Br)c(C)c1C#N ZINC000057339646
Brc1cncc(-n2cccn2)c1 ZINC000072192785
Cn1nc2c(c1Br)CCC2 ZINC000088240215
O=[N+]([O-])c1cccc(CO)c1Br ZINC000034416710
Cc1cc(I)ncc1C=O ZINC000072225971
N#Cc1c[nH]c2nccc(Br)c12 ZINC000019046163
Cc1cc2[nH]ccc2cc1Br ZINC000014985748
COC(OC)c1ccc(C)c(Br)c1 ZINC000028278332
COc1ncc(Br)c(C)c1[N+](=O)[O-] ZINC000008698177
C[C@@H]1CCc2nc(Br)sc2C1 ZINC000076499709
