O=C1C[C@@H](Oc2ccc(Br)cc2)N1 ZINC000299805425
Brc1ccc(-c2cncnc2)nc1 ZINC000045028437
Oc1cnc(Br)c(Cl)c1 ZINC000021981888
C[C@@H](O)c1cccc(Br)c1 ZINC000000404021
O=Cc1cc(Br)co1 ZINC000002567282
Clc1ncnc2cc(Br)ccc12 ZINC000020358103
C[C@@H](N=C=O)c1ccc(Br)cc1 ZINC000002548102
COc1ccc(Br)c(CCO)c1 ZINC000038953449
Cn1nc2c(Br)cccc2c1C=O ZINC000067173960
Cc1cc2cc[nH]c2nc1Br ZINC000238508897
COC(=O)c1cc(Br)ncc1F ZINC000047202520
COC(=O)Cn1cnc(Br)n1 ZINC000003174208
O=Cc1ccccc1C#Cc1ccc(Cl)cc1 ZINC000218501458
CCCc1nn(-c2ccccc2)c(Cl)c1C=O ZINC000036905248
Brc1ccco1 ZINC000002558994
O=Cc1nccc(Cl)n1 ZINC000071261592
CCOC(=O)c1[nH]ncc1Br ZINC000000972888
FC1(F)C[C@@H]1c1ccc(Br)cc1 ZINC000095774506
Fc1ccc2sc(Br)nc2c1 ZINC000040448741
Oc1cc2cn[nH]c2cc1Br ZINC000089197401
NC(=O)c1cc(Br)ccc1[N+](=O)[O-] ZINC000001558605
N#Cc1ccnc(Br)c1F ZINC000263623667
CC(=O)c1cc(Br)no1 ZINC000034109506
Cc1nccc(Br)c1F ZINC000218900522
Oc1cc(C(F)(F)F)cnc1Br ZINC000074934327
CC(C)N(C)Cc1cccc(Br)c1 ZINC000032917426
Cc1ccc(Br)c(C=O)c1Cl ZINC000090411235
Cc1cc(C)c2c(Br)ccnc2c1 ZINC000032099846
F[C@@H]1COc2c(Br)cnn2C1 ZINC000256050490
O=C1CCOc2ccc(Br)cc21 ZINC000006322598
COc1ccc(C(F)F)c(Br)c1 ZINC000047203472
Cc1cc(C)c(Br)cn1 ZINC000026460325
COc1ncc(Br)c(Cl)n1 ZINC000071864185
