Cc1ccc(Br)c(C)c1 ZINC000001692091
CC(C)[C@@H](O)c1cncc(Br)c1 ZINC000087281341
CC(C)(C)C(=O)c1cccc(Br)c1 ZINC000002514231
COC(=O)c1ccc(Br)c(C)n1 ZINC000085224846
Oc1cnc(F)c(Br)c1 ZINC000021981944
COc1cc(C)cc(Br)c1 ZINC000022053275
OCc1cc2cc(Br)cnc2[nH]1 ZINC000238680869
Clc1cc(Br)cn2ncnc12 ZINC000675051869
O=c1cnc(Br)cn1CC1CCC1 ZINC000255187976
COc1cc(Cl)c(C=O)nc1Cl ZINC001772572675
COc1cccc2ncc(Br)cc12 ZINC000059870903
CCNC(=O)c1ccc(Br)cc1 ZINC000005456500
Brc1cnc2nn[nH]c2c1 ZINC000019857217
Brc1cnn(CC2OCCO2)c1 ZINC000072232808
O=[N+]([O-])c1cc(F)cc(Br)c1O ZINC000002243119
COC(=O)[C@H](C)Oc1ccc(Cl)cc1C=O ZINC000049850850
Clc1cc(Cl)cc(Br)c1 ZINC000000150772
Oc1cc(-c2ccc(Br)cc2)on1 ZINC000083134598
O=Cc1ccc(Cl)c2[nH]ccc12 ZINC000044184834
CC(=O)c1cc(Br)cc([N+](=O)[O-])c1 ZINC000005167535
COc1cccc(Br)c1OC ZINC000001871328
N#Cc1ccc(I)cc1F ZINC000002243113
O=Cc1c([N+](=O)[O-])ccc(Cl)c1Cl ZINC000016384180
CNC(=O)c1cnc(Br)c(Cl)c1 ZINC000096511379
Clc1cc2cc(Br)ccc2cn1 ZINC000044831995
Cn1nc(C(N)=O)nc1Br ZINC000238538434
Cc1c[nH]c(Br)n1 ZINC000004352759
CC(C)Oc1ccc(C=O)c(Cl)c1 ZINC000083225530
CC(C)Oc1cc(Cl)cc(Br)c1 ZINC000065337315
Cc1ncc(F)cc1Br ZINC000076634019
O=Cc1cc(Cl)cnc1F ZINC000002539930
CC(=O)NCCc1ccc(Br)cc1 ZINC000035078693
COC(=O)c1ccc(Br)cc1Cl ZINC000037367598
CC(C)c1cc(Br)cc(C=O)c1 ZINC000090411233
C=Cc1ccc(I)cc1 ZINC000002507826
Cc1c(Br)cc(Cl)cc1C=O ZINC000263620150
COc1cc(Br)ncc1F ZINC000083285798
O=[N+]([O-])c1ccnc(Cl)c1Br ZINC000095911129
Cc1cc(I)cnc1C ZINC000114760896
COc1ccc(C#N)c(OC)c1Br ZINC000258336475
Cc1ccn(-c2ccccc2Br)n1 ZINC000149532227
Cc1[nH]c(=O)c2ccccc2c1Br ZINC000167484937
C[C@]1(c2ccc(Br)cc2Cl)CO1 ZINC000135060568
Cn1nccc1-c1ccccc1Br ZINC000083128186
CC1(c2cccc(Br)c2)CC1 ZINC000105638722
CC(C)CSc1ncc(Br)cn1 ZINC000065337509
Fc1ncc(Br)cc1[B-](F)(F)F ZINC000169989953
COc1cccnc1I ZINC000000330897
COc1ccc(C(C)=O)c(Br)c1 ZINC000004245143
O=CCCc1ccc(Br)cc1 ZINC000019682858
C[C@H](O)[C@@H]1C[C@H]1c1ccc(Br)cc1 ZINC000248382430
CC(C)c1ncc(Br)o1 ZINC000084324548
C=CCc1sccc1Br ZINC000039238601
O=Cc1cc(F)cc(Br)c1 ZINC000002528584
Cn1c(Br)nc(C#N)c1C#N ZINC000033374288
CCN(CC)c1ncc(Br)cn1 ZINC000001495461
Cc1cc2c(C)c(C)[nH]c2cc1Br ZINC000004118719
OCC#Cc1ccc(Br)cc1F ZINC000536949697
N#Cc1ccc(Cl)cc1C=O ZINC000059736535
O=Cc1c(Cl)cnn1C1CCCC1 ZINC000685936684
Cc1cc(C#N)c(F)cc1Br ZINC000026893601
O=Cc1c(Cl)n[nH]c1C(F)(F)F ZINC000020357662
Fc1c(Cl)ccc(Br)c1Cl ZINC000063339640
Oc1cccc2nc(Br)sc12 ZINC000216073442
CN1C(=O)Cc2ccc(Br)cc21 ZINC000088342752
CCc1cc(Br)ccc1OC(C)=O ZINC000096345752
Brc1cnc2nncn2c1 ZINC000082384068
CCC(=O)Cc1cc(F)ccc1Br ZINC000053765675
Fc1nc(OCC2CC2)ccc1Br ZINC000261493991
O=CCc1ccc(Br)cn1 ZINC000114244864
OCN1CCc2cc(Br)ccc21 ZINC000096029642
Brc1ccncc1 ZINC000000158596
COCC1(c2cccc(Br)c2)CC1 ZINC000096515632
