CN(CCC1CCCCC1)C(=O)CCl ZINC000258636992
C[C@H]1CCc2nc(NC(=O)CCl)sc2C1 ZINC000004454339
O=S1(=O)C=CC[C@@H](Br)C=C1 ZINC000045028145
Br[C@H]1CCCC12OCCO2 ZINC000044831756
O[C@@H]1[C@H](O)O[C@H](CCl)[C@H](Cl)[C@@H]1O ZINC000005063527
COC(=O)[C@@H](O)CCCBr ZINC000034151901
FC(F)=C(F)CCCl ZINC000002555165
N#Cc1cccc(C(=O)CBr)c1 ZINC000000166819
BrC[C@H]1CC2(CCOCC2)CO1 ZINC000536957557
CCOC(CI)OCC ZINC000037631419
O=C(CCl)N1CCc2cc([N+](=O)[O-])ccc21 ZINC000008981485
F[C@@H](Cl)c1ccccc1 ZINC000002510714
Cc1cc(F)ccc1CCl ZINC000050580297
CO[C@H]1O[C@H](CCl)[C@@H](O)[C@H](O)[C@H]1O ZINC000038235882
BrC1CCC2(CC1)CC2 ZINC000258107923
Cc1noc(C)c1[C@@H](C)CNC(=O)[C@H](C)Cl ZINC001875378304
CCOC(C)(C)CBr ZINC000149200151
COC(=O)[C@@H](Cl)Cc1ccccc1 ZINC000036204102
Cc1c(F)cccc1CBr ZINC000002510747
CC1(C)[C@H]2CC[C@]1(CBr)C(=O)C2=O ZINC000002703511
C[C@@]1(CCl)OC[C@@H](CO)O1 ZINC000001998914
Cc1nnc(CCCNC(=O)CCl)s1 ZINC001875367604
CCC(CC)CI ZINC000071875378
COc1ccc2c(CCl)coc2c1 ZINC000116211413
O=C1c2ccccc2C(=O)C1Br ZINC000100031821
ClC[SiH2]C(Cl)Cl ZINC000199856103
BrCCc1ccc2ccccc2c1 ZINC000000967230
C[N+]1(C)CCCC[C@H]1CBr ZINC000002145560
CCS(=O)(=O)[C@@H](Cl)C#N ZINC000110763367
C[C@H]1CC[C@@](C)(C(=O)CCl)C1(C)C ZINC000001667712
Br[C@H]1COCC[C@]12CO2 ZINC001535643332
N#CCCBr ZINC000003860883
C[C@@H](Cl)C(=O)NCc1nnc(C2CC2)o1 ZINC001875377499
Oc1ccc(CCl)c(C(F)(F)F)n1 ZINC000238716127
CC(=O)NC[C@H](CBr)OC(C)=O ZINC000036533480
Cn1c(=O)n(CCCl)c2ccccc21 ZINC000000301648
CO[C@H]1C[C@H](Br)C1 ZINC000100557248
Cc1ccc2nc(CCCl)[nH]c2c1C ZINC000019089306
ClCCOCOCCCl ZINC000001680770
BrCCc1ccoc1 ZINC000032302468
O=C(NC1CCCC1)[C@H](Cl)c1ccccc1 ZINC000013945897
COC[C@@H](C)NC(=O)NC(=O)[C@H](C)Cl ZINC000036904978
FCC12CC(CBr)(CO1)C2 ZINC001857781982
NS(=O)(=O)CCl ZINC000095754127
Cc1ccc(N2C(=O)C[C@@H](Cl)C2=O)cc1 ZINC000100746727
CC[C@@H](Br)C(=O)c1ccc(O)cc1 ZINC000223533346
C[C@@H](Cl)C(=O)NC1CCCCC1 ZINC000011538223
O=C(CCl)NCO ZINC000001700274
COc1cccc(-c2cc(CCl)no2)c1 ZINC000020315408
COC(=O)c1nc(CBr)cs1 ZINC000199822539
CC(C)(NC(=O)CCl)[C@@H](O)c1ccccc1 ZINC001875378019
BrC[C@@H]1CC(c2cccnc2)=NO1 ZINC000217840892
ClCOc1cccc2ccccc12 ZINC000032188249
BrCCOC1CCCCC1 ZINC000019415235
CCO[C@@H](C)O[C@@H](CCl)COC(C)=O ZINC000039409610
C[C@H](CCl)[C@H](C)NC(=O)[C@@H]1CCCCS1 ZINC000228794149
CC(=O)O[C@@H](C)[C@H](C)Br ZINC000001726437
O=C(CCCCCCl)c1ccccc1F ZINC000002378514
CC(C)SC(=O)N[C@@H]1CCCC[C@@H]1Cl ZINC000005381432
COC(=O)[C@H](Cl)c1cc(F)c(F)cc1F ZINC000140606440
C[C@@H](Cl)C(=O)N1CC(Cc2cccs2)C1 ZINC001875366920
Fc1cncc(CCCl)c1 ZINC000060711233
CC(=O)N1CCC(CCl)CC1 ZINC000015781987
Br[C@@H]1COC2(CCCCC2)C1 ZINC000215961936
ClCc1ccc2[nH]ncc2n1 ZINC000085210517
ClC[C@@H]1CC(c2ccncc2)=NO1 ZINC000217845397
CC(C)[C@@H]1C[C@@H](CNC(=O)CCl)CCO1 ZINC001875375329
Cc1cc(C)c(NC(=O)CCCl)c(C)c1 ZINC000006255224
Cc1nsc(CCl)n1 ZINC000141891044
CN(Cc1cnccn1)C(=O)CCl ZINC000079422420
CC1=CS(=O)(=O)C[C@@H]1Br ZINC000003865758
OC[C@@H](O)CCl ZINC000002041175
CC1(C)[C@@H]2CC(=O)[C@@]1(C)C[C@@H]2Br ZINC000004127899
C[C@H](Cl)C(=O)N[C@@H]1CCC[C@@H](C)[C@H]1C ZINC000238854290
Fc1cccc(F)c1C1=NO[C@@H](CCl)C1 ZINC000068576436
