COC(=O)C[C@H](C)CBr ZINC000034226498
Cc1nc(CBr)co1 ZINC000036533174
C[N+](C)(C)CC1(CBr)COC1 ZINC000003200650
Cc1nnsc1[C@H](C)Br ZINC000039267839
CN(CC1CCCCC1)C(=O)CCl ZINC000037654120
CCCCCCCCc1ccc(CCl)cc1 ZINC000100012668
C[C@H]1CCCN(C(=O)CCCCl)C1 ZINC000005217938
C=CC(=O)NC[C@]1(C)C[C@@H]1Br ZINC000952879984
Cc1ccc(C)c([C@@H](C)NC(=O)CCl)c1 ZINC000019094149
ClCCCc1nnn[nH]1 ZINC000002546989
C[C@@H]1[C@H]2C[C@@H](C[C@@]23OC[C@@H](CCl)O3)C1(C)C ZINC000195415185
ClC/C=C/CO[C@@H]1CCCCO1 ZINC000001613588
C[C@H](CNC(=O)[C@@H](C)Cl)c1ccccc1 ZINC000003434797
Cc1ccc(CCl)c(O)c1 ZINC000001595511
C=C(F)CCl ZINC000002383138
N#Cc1ccc(C(=O)CBr)cc1F ZINC000085344514
O=c1cc(CCl)[nH]c2ccc(F)cc12 ZINC000008732762
O=C1CCCC[C@@H]1CCBr ZINC000142932617
F[C@H]1[C@@H](Cl)CC1(F)F ZINC000071621215
Oc1ccccc1OCCCl ZINC000043465047
CN1CC[C@@H](N(C)C(=O)CCl)C1 ZINC000079406456
[SiH3]CCCCCCCCCCCCl ZINC000238678890
O[C@@H]1CCCN(CCCl)C1 ZINC000042470239
CC1(C)OC[C@H](/C=C/CBr)O1 ZINC000015809823
ClCCCCCn1cccn1 ZINC000034440593
C[C@@H]1C(=O)Nc2ccc(C(=O)CCl)cc21 ZINC000100489514
BrCc1cccc2c1OCO2 ZINC000082046495
Cc1oc(-c2cccc(C#N)c2)nc1CCl ZINC000164167259
CC1(C(=O)CCl)CCCCC1 ZINC000039054871
FC(F)(F)C[C@@H](Cl)Br ZINC000100036716
C[C@H](Br)C(=O)NC1CCOCC1 ZINC000072207546
CC(=O)SCCSCCCl ZINC000001628022
CC1(C)[C@H]2CC[C@@]1(C)[C@@H](Cl)C2 ZINC000100939228
CCc1ccc(C(=O)CCl)cc1 ZINC000003885299
COC(=O)c1cc(CCl)n(C)n1 ZINC001772717757
ICC1CC1 ZINC000067800288
CC1(C)[C@]2(C)CC[C@@]1(C=O)[C@@H]2Br ZINC000242543493
O=C(CCl)NC1CCCCCCC1 ZINC000005282841
C[C@H](Cl)C(=O)c1cc(F)cc(F)c1 ZINC000238422455
BrCC1CCC(C2CCCC2)CC1 ZINC001857785470
FCCn1cc(CCl)cn1 ZINC000087777174
COC(=O)c1ccc([C@@H]2C[C@H]2Cl)cc1 ZINC000097438997
Cc1cc(C)c(CCl)c(C)c1CCl ZINC000000164644
BrCC1CCOCC1 ZINC000002510758
CC[C@H](Br)C(=O)OC ZINC000001589665
C[C@@H]1O[C@@H]1CCl ZINC000033986356
CC[C@@H](C)c1ccc(C(=O)CCl)cc1 ZINC000003276770
NC(=O)[C@@H]1[C@H]2C[C@H]3[C@@H]([C@H]2Cl)[C@@H]13 ZINC000254735837
ClCc1nnc(C2CC2)s1 ZINC000002511420
CC(CO)(CO)CBr ZINC000001841380
COc1ccc2oc(CCl)cc2c1 ZINC000026422713
CSc1ncnc2c1ncn2CCCl ZINC000001687420
CCCCCCCCC[C@@H](C)Br ZINC000001736646
CC(=O)C(Br)C(C)=O ZINC000100055802
BrC[C@@H]1CCCC[C@H]2O[C@@H]12 ZINC001772716080
ClCOC1CCCC1 ZINC000034515152
