COC(=O)c1nc(CBr)ccc1F ZINC000238347546
CN1C[C@H](Br)C(=O)NC1=O ZINC000000160410
CCOC(=O)C(=O)CCl ZINC000039125528
BrCc1cccc2nccnc12 ZINC000034321435
CN1CCN(C(=O)CCl)c2c(F)cccc21 ZINC001875368788
CCCCCCC#CCCCCCCCCl ZINC000100292525
ClCCCSc1ccccc1 ZINC000001703044
CN(Cc1ccc(N(C)C)nc1)C(=O)CCl ZINC001875377344
Cc1ccc(O)c(C(=O)CBr)c1 ZINC000002511016
ClC[C@H](Cl)[C@H]1CO1 ZINC000001598463
CCCCCC[C@H](Br)CCCC ZINC000002042307
CCn1nnn(CCBr)c1=O ZINC000033607906
C[C@@H](Cl)C(=O)NC(=O)NC1CC1 ZINC000008231208
Cc1cc(-c2nnc(CCl)o2)c(C)o1 ZINC000004204719
O=[N+]([O-])c1cc(F)cc(CBr)c1 ZINC000082864468
O=C(CCl)c1cc(O)ccc1O ZINC000039055111
C[Si](C)(Cl)CCl ZINC000169743518
C[C@H](Cl)c1cccc(F)c1 ZINC000057218537
C[C@@H](Cl)C(=O)c1cccc(F)c1F ZINC000238427541
COc1ccc(C(=O)CBr)c(O)c1 ZINC000082309223
ClCc1n[nH]c2c1CCCC2 ZINC000072209770
O=Cc1ccc(NC(=O)CCl)c(O)c1 ZINC000082238026
C=Cc1ccc(CBr)cc1 ZINC000072265668
FC(F)(F)c1ncccc1CCl ZINC000091301438
N#C[C@@H](Cl)c1ccccc1C(F)(F)F ZINC000045626895
O=C1C2=C(SCCS2)C(=O)N1CCl ZINC000003130403
Cc1n[nH]c(C)c1CCBr ZINC000000267575
C[C@H](NC(=O)CCl)c1ccc2n[nH]cc2c1 ZINC001875377137
COC(=O)[C@H](Br)CBr ZINC000002042930
CC(C)OC[C@H](O)CCl ZINC000002044921
O=S(=O)(OCCl)OCCl ZINC000100437804
COC(=O)[C@H](Cl)[C@H](C)Cl ZINC000100948280
O=[S@]1OC[C@@H](CCCl)O1 ZINC000004614215
C[C@H]1[C@@H](Br)C=CS1(=O)=O ZINC000012173605
FC(F)(F)c1ccc(C(Cl)Cl)cc1 ZINC000002564825
COc1cc(CCl)cc(C)n1 ZINC000095762001
O[C@H](CCl)c1c[nH]c2ncccc12 ZINC000096510704
O=C(CBr)N1CCCC1 ZINC000014628836
CCCC(=O)[C@@H](Br)CC ZINC000044960036
COc1ccc(CCl)c(OC)c1 ZINC000020077978
FC(F)(Br)C(F)(F)CCCl ZINC000002526352
CC(=O)[C@H](Cl)C(=O)N(C)C ZINC000004521425
FC1=CCCC[C@H]1Br ZINC000205051952
Cc1ccc(C(=O)[C@H](C)Cl)cc1F ZINC000238423613
C[C@H](Cl)C(=O)N[C@H](C)c1ccn(C)n1 ZINC001875378248
CCC(=O)Nc1ccc(C(=O)CCl)cc1 ZINC000003886328
O=C(CCl)c1ccc2cc[nH]c2c1 ZINC000034263259
BrC[C@H]1CCC=CCCC1 ZINC000204955049
Cc1cnn(CCCCl)c1 ZINC000037677053
CCCCCC[C@@H](C)OC(=O)[C@@H](C)Cl ZINC000001597330
O=S1(=O)CCC[C@H]1[C@@H](Cl)c1ccccc1 ZINC000001725675
CC(=O)[C@@H](Cl)C(=O)C(F)(F)F ZINC000100501704
COC(=O)C1=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1Cl ZINC000096329090
Cl[C@@H]1[C@H]2C=C[C@@H]3C=C[C@@H]1[C@H]23 ZINC000254815842
BrCCn1ccnn1 ZINC000095760981
O=C(CCBr)Nc1ccccc1F ZINC000002581844
CC(=O)[C@H](Cl)c1ccccc1 ZINC000001670675
F[C@H](I)C(F)(F)F ZINC000063926110
O=C1C[C@H](N(C(=O)CCl)C2CC2)C(=O)N1 ZINC001253962988
NC(=O)c1ccc(CBr)c(F)c1 ZINC000088108013
BrCCCC1CCC1 ZINC000126126442
ClC[C@H](Cl)c1ccccc1 ZINC000002039979
Cl[C@@H]1CCCc2cccnc21 ZINC000032914921
COCCS(=O)(=O)CCCBr ZINC000035321777
CC(C)N(C(=O)CCl)[C@H](C)c1cnccn1 ZINC000079435576
COc1cc(CCl)c(OC)c(CCl)c1 ZINC000100736828
Oc1ccccc1[C@@H](Cl)C(F)(F)F ZINC000148303022
COC(=O)c1ccccc1C[C@H](Cl)C#N ZINC000000107390
C[C@@](Cl)(C=O)CCl ZINC000002023937
BrCc1cnc(-c2ccccc2)o1 ZINC000136729152
O=C(CCl)Nc1ccc2c(c1)CCC2 ZINC000003136061
O=C(CBr)OC1CCCCC1 ZINC000001687095
CC(C)COC[C@@H](Cl)CN1CCCC1 ZINC000033506730
ClCc1ccc[nH]1 ZINC000088189671
C[C@@H](Cl)c1csnn1 ZINC000299805668
O=C(NCCCl)Nc1ccccc1 ZINC000001699057
CC(C)[C@@H](Br)C(=O)NC1CCCC1 ZINC000019428645
N#C[C@H](Cl)c1ccc(C(F)(F)F)cc1 ZINC000045626835
COc1ncccc1CBr ZINC000061445092
ClC[C@H]1CC(c2ccncc2)=NO1 ZINC000217845439
Cc1ccc2c(CCl)cc(=O)oc2c1C ZINC000000489289
CC[C@@H](Br)C(=O)NC1CC(C)C1 ZINC000085395895
Cc1cccc(CBr)c1F ZINC000000159333
CCN(C)C(=O)CBr ZINC000058852437
C[C@@H](CCBr)CC(C)(C)C ZINC000054711035
CCOC(=O)C1CCN(C(=O)[C@H](C)Cl)CC1 ZINC000003887320
CCO[C@H](C)Cl ZINC000002029627
C[C@H](Cl)C(=O)NNC(=O)c1cccc(F)c1 ZINC000095883588
O=C1CCCN1CCBr ZINC000019414166
CC(C)c1ccc(CCCl)cc1 ZINC000055241583
CCc1ccccc1C(=O)CCl ZINC000095916911
C=CCOC(=O)[C@H](O)CCl ZINC000104722332
FC(F)(F)COCCOCCCl ZINC000082513552
O=[S@@](O)CCCCl ZINC000142488563
CCCOC(=O)CCl ZINC000001591778
ClCc1csc(-c2ccccn2)n1 ZINC000002656403
Cc1sc(NC(=O)CCl)c(C)c1C ZINC000071373545
CC[C@@H](Cl)C(=O)c1cc(C)cc(F)c1 ZINC000307649768
Fc1ccc2ccc(CCl)nc2c1 ZINC000083316389
C[C@@H](Cl)C(=O)N[C@H]1CC(C)(C)OC1(C)C ZINC001875377504
O=C(CCl)NCc1c[nH]nc1C(F)F ZINC001875374357
C=C(CBr)C(=O)OC ZINC000002539421
O=c1sc2ccccc2n1CCCl ZINC000000375158
ClCc1ncc2ccccn12 ZINC000225780251
CCN(C)c1ncc(CCl)cc1C ZINC000072222189
O=S(=O)(Cl)NCCCCl ZINC000100372039
CC(C)COC[C@@H](O)CCl ZINC000001556613
CCC[C@@H](CCCCl)OC ZINC000085396643
COC(=O)C[C@@H](O)CCl ZINC000002564702
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CCl ZINC000005132008
CC1(C)Cc2ccccc2C(CCl)=N1 ZINC000000087206
O=C(CCl)NCCN1CC2(COC2)C1 ZINC001875367414
